"Band_mom","FamilyID_mom","site_size_mom","num.tot.mates","num.tot.clutches","num.tot.chicks","num.ep.mates","num.ep.clutches","num.ep.chicks"
"2640-97331","CHR-029",32,3,2,8,2,2,3
"2640-97358","CHR-032",32,2,2,7,1,1,1
"2640-97596","MakeBelieve-73",7,2,2,10,1,1,3
"2811-38984","CHR-102",32,1,2,7,0,0,0
"2811-83207","DomeHouse-01",1,2,2,4,1,1,2
"2850-57550","MaryAnns-01",1,1,1,3,0,0,0
"2850-57551","Struthers-10",3,2,2,10,1,2,2
"2850-57568","CHR-096",32,3,2,7,3,2,7
"2850-57571","CHR-058",32,2,1,4,2,1,4
"2850-57572","BlueCloud-05",7,1,2,5,0,0,0
"2850-57575","Cooks-04",9,2,1,4,1,1,2
"2850-57576","MakeBelieve-14",7,2,2,6,1,1,1
"2850-57583","CHR-097",32,1,2,8,0,0,0
"2850-57585","CHR-004",32,3,2,5,2,2,4
"2850-57588","CHR-045",32,2,1,4,2,1,4
"2850-57608","UrbanFarm-02",2,2,1,3,1,1,1
"2850-57609","Cooks-06",9,1,1,5,1,1,5
"2850-57612","BlueCloud-18",7,2,2,10,1,1,1
"2850-57629","UrbanFarm-08",2,2,2,7,1,1,3
"2850-57635","MakeBelieve-38",7,3,2,8,2,2,5
"2850-57637","Cooks-02",9,1,1,1,0,0,0
"2850-57640","McCauley-01",2,2,2,6,1,1,4
"2850-57645","Struthers-03",3,1,1,4,1,1,4
"2850-57648","CHR-133",32,3,2,4,2,2,2
"2850-57649","CHR-039",32,1,2,8,0,0,0
"2850-57650","CHR-025",32,4,2,7,3,2,3
"2850-57652","CHR-066",32,2,2,6,1,1,2
"2850-57654","CHR-080",32,3,1,4,2,1,2
"2850-57656","CHR-078",32,2,1,5,1,1,3
"2850-57661","Karens-01",1,1,1,3,0,0,0
"2850-57663","Cooks-31",9,1,2,7,0,0,0
"2850-57664","Cooks-27",9,2,1,3,1,1,1
"2850-57667","Cathys-02",1,1,1,1,0,0,0
"2850-57670","CHR-073",32,2,1,5,1,1,1
"2850-57672","Cooks-17",9,2,1,4,1,1,2
"2850-57685","Boyer-05-07",5,1,1,2,0,0,0
"2850-57688","Boyer-05-07",5,1,1,5,0,0,0
"2850-57692","Marty-01",1,1,2,6,0,0,0
"2850-57698","Speedwell-01",1,2,1,4,1,1,2
"2850-57700","Cooks-33",9,1,1,4,0,0,0
"2850-57730","CHR-093",32,3,2,9,2,1,2
"2850-57735","CHR-037",32,2,2,5,1,1,2
"2850-57736","CHR-043",32,1,1,5,0,0,0
"2850-57746","CHR-074",32,4,2,7,3,2,4
"2850-57753","McCauley-04",2,1,1,4,0,0,0
"2850-57846","CHR-110",32,2,2,6,1,1,1
"2850-57853","Cooks-29",9,4,2,10,3,2,5
"2850-57869","BlueCloud-04",7,4,2,6,3,2,4
"2850-57870","BlueCloud-19",7,1,2,6,0,0,0
"2850-57871","BlueCloud-22",7,2,2,6,1,1,1
"2850-57872","MakeBelieve-26",7,3,2,8,2,1,4
"2850-57874","MakeBelieve-08",7,2,1,2,1,1,1
"2850-57878","MakeBelieve-13",7,1,1,3,0,0,0
"2850-57879","CHR-112",32,4,2,8,3,2,6
"2850-57883","CHR-099",32,2,2,8,1,1,2
"2870-64909","CHR-148",32,1,1,4,0,0,0
"2870-65003","CHR-128",32,1,2,5,0,0,0
