"Bird","date","B_total.bright","B_avg.bright","B_hue","B_chrom","R_total.bright","R_avg.bright","R_hue","R_chrom","T_total.bright","T_avg.bright","T_hue","T_chrom","V_total.bright","V_avg.bright","V_hue","V_chrom"
"2350-21085","06_02_22",70717.8933333333,35.2531871053506,600.376666666667,0.419334040460585,57869.28,28.8480957128614,575.396,0.459568400387536,19332.97,9.63757228315055,678.442666666667,0.565814714737552,56780.4466666667,28.3053074111,649.467333333333,0.481670082705351
"2350-21096","07_14_22",51078.2,25.4627118644068,657.126,0.467299082405322,46430.59,23.1458574277168,607.696666666667,0.444570382131141,22926.3833333333,11.4289049518112,676.788333333333,0.511629437657053,43958.86,21.9136889332004,643.106333333333,0.455467631011305
"2640-97331","06_17_22",39236.1766666667,19.5594101030243,616.737333333333,0.486640052153124,37751.8366666667,18.8194599534729,633.753333333333,0.511323938718912,19730.5966666667,9.83579096045198,674.104,0.544014282457219,37753.6966666667,18.8203871718179,652.772333333333,0.496634551107121
"2640-97358","06_17_22",42412.6033333333,21.1428730475241,651.440333333333,0.469501946338724,39599.5533333333,19.7405550016617,642.151,0.495234064379998,27635.4866666667,13.7764140910602,659.167,0.537489732990061,45484.6066666667,22.6742804918578,671.746666666667,0.469881279539494
"2640-97548","05_26_22",27276.7933333333,13.5976038551014,680.124666666667,0.499036813678359,32565.6366666667,16.2341159853772,647.108,0.513907414549653,17165.2333333333,8.55694582917913,675.792666666667,0.558975656038315,36830.14,18.3599900299103,677.380666666667,0.513099679243232
"2640-97588","06_11_22",42561.4166666667,21.2170571618478,610.683666666667,0.471668493314114,28998.99,14.4561266201396,610.683666666667,0.507893604800371,23771.48,11.8501894317049,653.727333333333,0.544837495506479,55172.2766666667,27.5036274509804,637.038666666667,0.462396686387819
"2640-97589","06_17_22",37417.18,18.6526321036889,627.372333333333,0.480672665268801,33928.5666666667,16.9135427052177,657.739333333333,0.528785658627975,23701.6033333333,11.8153555998671,681.183,0.523609389285548,41428.2866666667,20.6521867730143,650.113,0.483636219775262
"2640-97596","06_02_22",60480.9,30.15,634.778,0.434089165229652,57148.0733333333,28.4885709538053,658.761333333333,0.481209824754985,30068.5566666667,14.989310402127,678.131,0.547060065803652,53773.9133333333,26.8065370555002,605.081666666667,0.460644426120571
"2811-00632","06_10_22",40909.5033333333,20.3935709538052,636.728333333333,0.521280226157742,53178.5166666667,26.5097291458956,645.758,0.471404513911567,22138.4766666667,11.0361299435028,679.112333333333,0.517956526579132,35890.0866666667,17.8913692256564,680.396333333333,0.493827327825909
"2811-38984","06_17_22",47463.6766666667,23.6608557660352,627.372333333333,0.458228381241478,40276.6133333333,20.0780724493187,606.378666666667,0.466369752152159,29124.74,14.518813559322,679.458,0.515995203309638,50528.72,25.1887936191426,662.762666666667,0.489744034438971
"2811-39093","07_05_22",49068.6333333333,24.4609338650714,633.379666666667,0.466923253407517,53515.6866666667,26.6778099036225,611.004,0.465999777192007,27956.69,13.9365353938185,643.740666666667,0.529580006074316,57485.2966666667,28.656678298438,611.004,0.456442154076224
"2811-82969","06_17_22",45201.6966666667,22.5332485875706,611.004,0.491848923470074,52473.09,26.1580707876371,611.004,0.471993495403182,35403.5133333333,17.6488102359588,611.004,0.498102493947764,46520.99,23.1909222333001,611.004,0.473580392377556
"2811-83207","06_13_22",31312.1933333333,15.6092688600864,663.093333333333,0.493086003640744,48052.7066666667,23.9544898637421,614.487333333333,0.462077598012271,40359.41,20.1193469591226,685.780666666667,0.45641517512088,34845.2166666667,17.3704968428049,679.147666666667,0.517698870844449
"2811-83208","06_20_22",52955.9633333333,26.3987853107345,610.683666666667,0.450512143759668,42135.2166666667,21.0045945496843,610.683666666667,0.486882120791365,37580.7433333333,18.7341691591891,611.004,0.484585352087891,46614.2766666667,23.2374260551678,611.004,0.475660646075861
"2811-83402","07_05_22",47058.2866666667,23.4587670322366,633.379666666667,0.446837976656705,58976.0833333333,29.3998421402459,631.699333333333,0.470952712245755,33789.9633333333,16.8444483217016,667.716666666667,0.538722018533057,57573.5766666667,28.7006862745098,615.732,0.458963137542598
"2811-83409","06_20_22",72169.6833333333,35.9769109338651,597.723,0.422069152836768,70442.44,35.1158723828514,626.04,0.42716201262025,26229.26,13.0754037886341,677.784333333333,0.528093760227933,61198.7866666667,30.5078697241609,609.722333333333,0.441458139151944
"2850-57518","06_14_22",41744.0666666667,20.809604519774,627.058333333333,0.478712673400764,39311.6766666667,19.5970471917581,665.090666666667,0.532886534906043,29903.8333333333,14.9071950814224,611.004,0.519809235426352,37512.55,18.7001744765703,678.778666666667,0.51467685662893
"2850-57519","07_14_22",52957.4266666667,26.3995147889664,643.426666666667,0.419956759890628,54564.1133333333,27.2004553007644,643.426666666667,0.446988584221246,35020.1666666667,17.4577102027252,660.109,0.494161906763924,66873.49,33.3367347956132,600.043666666667,0.425720972172298
"2850-57550","08_10_22",54357.2033333333,27.0973097374543,672.121333333333,0.423347788769985,64152.3233333333,31.9802210036557,652.766333333333,0.444026907847733,44560.6533333333,22.2136856098372,653.395,0.518261977580409,57927.1033333333,28.8769209039548,626.781,0.445107907016415
"2850-57551","06_01_22",48236.0433333333,24.0458840146228,631.053666666667,0.474288937104708,50294.8833333333,25.0722249916916,617.439,0.49679627888468,43579.37,21.7245114656032,619.031666666667,0.519022756169711,59582.0433333333,29.7019159189099,632.079,0.461660686657639
"2850-57552","06_01_22",52413.5766666667,26.1284031239614,630.412666666667,0.473146463738722,56436.5733333333,28.1338850116318,636.077,0.471008286643739,33056.6866666667,16.4789066134929,652.385333333333,0.541955632550136,51771.08,25.8081156530409,632.783,0.486261458463826
"2850-57557","06_24_22",31837.8766666667,15.8713243602526,611.004,0.509334773274041,43537.52,21.7036490528415,644.054666666667,0.515457828670547,28799.45,14.3566550348953,644.054666666667,0.503765598449205,38768.3633333333,19.3262030574942,611.004,0.478606990115526
"2850-57560","07_14_22",41014.0233333333,20.4456746427384,611.004,0.477242442040271,35675.02,17.7841575274177,643.740666666667,0.494989222873105,20934.8666666667,10.436124958458,643.420333333333,0.51987879729,35924.9166666667,17.9087321369226,660.109,0.48246332469564
"2850-57563","07_05_22",48090.7933333333,23.9734762379528,640.776,0.490531745359776,58263.1733333333,29.0444533067464,622.444,0.455219003079281,26155.37,13.0385692921236,637.359,0.504731096433171,43720.44,21.7948354935194,643.740666666667,0.49804395543692
"2850-57565","06_06_22",36565.9433333333,18.2282868062479,643.106333333333,0.492153314837329,35000.43,17.4478713858425,673.076,0.503329627518825,19316.65,9.62943668993021,643.112666666667,0.530689809357305,41107.0466666667,20.4920471917581,626.417666666667,0.473984493587133
"2850-57567","06_06_22",44699.4133333333,22.2828580923895,606.056666666667,0.487213349702264,52870.3966666667,26.3561299435028,611.388333333333,0.492711540061075,21183.6066666667,10.56012296444,667.115666666667,0.521807289855866,33578.1966666667,16.7388816882685,628.070666666667,0.511359263648033
"2850-57568","06_17_22",47220.9966666667,23.5398786972416,625.776333333333,0.430572869244747,51097.1033333333,25.472135260884,642.151,0.452418429358055,30355.4333333333,15.132319707544,659.167,0.505061279705532,46783.95,23.3220089730808,659.167,0.497056741267719
"2850-57570","06_17_22",51501.3766666667,25.6736673313393,611.004,0.443766872554099,46274.6466666667,23.0681189764041,611.004,0.495866930233422,33782.6,16.840777666999,611.004,0.50116103868757,38266.3066666667,19.0759255566633,627.686333333333,0.494641169287756
"2850-57571","06_17_22",45277.1766666667,22.5708757062147,625.776333333333,0.477030290155983,48456.8966666667,24.1559803921569,642.471666666667,0.48238745906607,33634.9766666667,16.7671867730143,659.167,0.503477030550704,29633.7366666667,14.7725506812895,666.173666666667,0.536627530436078
"2850-57572","05_26_22",48709.0933333333,24.2817015619807,659.795,0.457622138037168,53727.3966666667,26.7833482884679,609.722333333333,0.483003143288873,28825.8933333333,14.3698371552011,626.411,0.497631974785293,43341.9966666667,21.6061797939515,643.106333333333,0.485696853886885
"2850-57573","05_28_22",62435.5933333333,31.1244233964772,659.167,0.424712745734185,49347.11,24.5997557328016,625.776333333333,0.484233366036293,25918.2,12.9203389830508,659.167,0.516923185163857,44003.76,21.9360717846461,659.167,0.497268887220087
"2850-57574","05_28_22",36635.6466666667,18.2630342306414,637.359,0.465028061402376,43675.05,21.7722083748754,611.004,0.491729230121277,23877.1366666667,11.9028597540711,627.372333333333,0.492942753988344,40831.0833333333,20.3544782319708,611.004,0.465982625654706
"2850-57575","05_28_22",58971.7066666667,29.3976603522765,587.395666666667,0.430465732190145,77484.68,38.6264606181456,634.733333333333,0.440771486626879,34890.9766666667,17.393308408109,627.686333333333,0.525583019375436,60948.02,30.3828614157527,660.737,0.442822349304728
"2850-57576","06_02_22",60063.1766666667,29.9417630442007,647.801666666667,0.439812251739168,63379.0033333333,31.5947175141243,600.375333333333,0.46599747773546,28165.3233333333,14.0405400465271,679.439,0.552302631170651,56156.5433333333,27.9942888002659,635.419333333333,0.496187480964908
"2850-57577","06_17_22",57789.4366666667,28.8082934529744,627.121666666667,0.443602398161573,57845.48,28.8362313060818,625.399,0.475799583396234,41974.9966666667,20.9247241608508,676.164,0.512057072919027,59267.9633333333,29.5453456297773,636.057666666667,0.455136561716063
"2850-57578","06_17_22",41567.9233333333,20.7217962778332,642.792333333333,0.496782871963451,31447.6766666667,15.6768079096045,657.462666666667,0.517385328934106,21697.5766666667,10.8163393153872,678.442666666667,0.55679900068735,23412.5966666667,11.6712844798937,659.167,0.547842631801228
"2850-57579","06_17_22",36265.44,18.0784845463609,627.372333333333,0.493533730443052,49706.7933333333,24.7790594882021,617.005,0.488521059528198,22706.9,11.3194915254237,660.737,0.533256518674773,48955.0466666667,24.404310402127,611.004,0.499147360596668
