proofed_by,entered_by,band,site,mb_side,recap,sex,how_sexed,initials,date,rwl1,rwl2,rwl3,lts1,lts2,lts3,intact_lts,rts1,rts2,rts3,intact_rts,mass_1,mass_2_date,mass_2,mass_3_date,mass_3,mass_4_date,mass_4,body_feathers,notes,color_top,color_bottom,mb_tape,cb_side,other_marks,lysis,adult_manipulated,adult_treatment,nest_manipulated,nest_treatment,nest_1,old_new_1,mate_band_1,ci_1,eggs_1,hatched_1,day_12_1,success_1,nest_fate_1,notes_1,nest_2,old_new_2,mate_band_2,ci_2,eggs_2,hatched_2,day_12_2,success_2,nest_fate_2,notes_2,nest_3,old_new_3,mate_band_3,ci_3,eggs_3,hatched_3,day_12_3,success_3,nest_fate_3,notes_3,nest_4,old_new_4,mate_band_4,ci_4,eggs_4,hatched_4,day_12_4,success_4,nest_fate_4,notes_4,pairing_notes
HKD,IJM,2850-57659,Blue Cloud,L,N,M,CP,HKD,2022-06-18,120.5,120,120.5,89,89,90,Y,NA,NA,NA,N,18.87,,,,,,,Y,RTS broken,Orange,Dk Blue,NONE,R,"green sharpie on right, caught in back stall by nest 4",Y,N,,N,,4,old,2850-57869,2022-05-22,2,2,2,Y,fledged,,17,old,2850-57869,2022-07-06,4,4,4,Y,fledged,,,,,,,,,,,,,,,,,,,,,,
HKD,IJM,2850-57869,Blue Cloud,R,N,F,BP,APP,2022-06-06,117,117,117,78.5,78,78.5,Y,78,78,78,Y,19.21,,,,,,,Y,caught in back stall at nest 4,Yellow,Yellow,Blue,L,,Y,N,,N,,4,old,2850-57659,2022-05-22,2,2,2,Y,fledged,,17,old,2850-57659,2022-07-06,4,4,4,Y,fledged,,,,,,,,,,,,,,,,,,,,,,
HKD,IJM,2850-57901,Blue Cloud,R,Y,M?,,ASF,2022-05-26,120,120.5,120,89,88.5,89,Y,83,83,83,Y,18.9,,,,,,,Y,"sexed as M in 2021, originally sexed as F in 2022 because apparent BP but other member of pair more clearly F. Asymmetrical TS",Dk Green,Lt Green,White,L,,Y,N,,Y,ibutton,16,old,2850-57572,2022-05-22,2+,0,0,N,fell,"nest failed before clutch completion, not confirmed at this nest, caught in hallway",5,old,2850-57572,2022-05-30,4,1,1,Y,fledged,ibutton nest,5.2,old,2850-57572,2022-07-10,4,4,4,Y,fledged,,,,,,,,,,,,
HKD,IJM,2850-57572,Blue Cloud,R,N,F,BP,RS,2022-05-26,116,116,116,73,73,73,Y,72.5,72.5,72.5,Y,21.39,,,,,,,Y,"caught in middle of barn, in evening",Red,Orange,Blue,L,,Y,N,,Y,ibutton,16,old,2850-57901,2022-05-22,2+,0,0,N,fell,"nest failed before clutch completion, not confirmed at this nest",5,old,2850-57901,2022-05-30,4,1,1,Y,fledged,ibutton nest,5.2,old,2850-57901,2022-07-10,4,4,4,Y,fledged,,,,,,,,,,,,
HKD,IJM,2640-97548,Blue Cloud,R,Y,M,CP,APP,2022-05-06,120,120,120,77,77.5,77,Y,80,80,79.5,Y,20,2022-06-13,19.33,,,,,Y,very dark plumage,White,Black,White,L,,Y,N,,N,,18,old,2850-57612,2022-05-11,5,5,5,Y,fledged,male at nest 18(?),21,old,2850-57612,2022-06-27,5,5,5,Y,fledged,,,,,,,,,,,,,,,,,,,,,,
HKD,IJM,2850-57612,Blue Cloud,L,Y,F,BP,HVK,2022-05-26,124,123,123,83,82.5,82.5,Y,83.5,83,83,Y,18.9,,,,,,,Y,,White,Lt Blue,Green,R,added new green tape 5/26,Y,N,,N,,18,old,2640-97548,2022-05-11,5,5,5,Y,fledged,female at nest 18(?),21,old,2640-97548,2022-06-27,5,5,5,Y,fledged,,,,,,,,,,,,,,,,,,,,,,
HKD,IJM,2850-57565,Blue Cloud,R,Y,M,"color, TS",HKD,2022-06-06,121.5,122,121.5,92.5,92.5,92.5,Y,94,94,94,Y,18.58,,,,,,,Y,,Yellow,Lt Green,Yellow,L,,Y,N,,N,,19,old,2850-57870,2022-05-21,3,3,0,N,failed,caught in shed @ nest 19,24,old,2850-57870,2022-06-22,5,5,5,Y,fledged,,,,,,,,,,,,,,,,,,,,,,
HKD,IJM,2850-57870,Blue Cloud,L,N,F,BP,APP,2022-06-06,120,120.5,120.5,73,73,73.5,Y,73.5,73.5,74,Y,17.45,,,,,,,Y,only have throat feathers,Purple,Yellow,NONE,R,,Y,N,,N,,19,old,2850-57565,2022-05-21,3,3,0,N,failed,caught in shed,24,old,2850-57565,2022-06-22,5,5,5,Y,fledged,,,,,,,,,,,,,,,,,,,,,,
HKD,IJM,2850-57614,Blue Cloud,L,Y,M,CP,RS/SG,2022-05-26,116,116,116.5,92,92,92.5,Y,92.5,92.5,92.5,Y,18.3,,,,,,,Y,caught in stall with nest 22,Dk Blue,Black,White,R,,Y,N,,N,,22,old,2850-57871,2022-05-15,3,2,2,Y,fledged,,14,old,2850-57871,2022-06-27,4,4,4,Y,fledged,,,,,,,,,,,,,,,,,,,,,,
HKD,IJM,2850-57871,Blue Cloud,L,N,F,BP,APP,2022-06-06,118,118,118.5,79,79.5,79,Y,81,81,81,Y,17.56,2022-06-13,17.19,,,,,Y,cut on cheek on left side. Caught in stall with nest 22,Lt Blue,Lt Blue,Green,R,,Y,N,,N,,22,old,2850-57614,2022-05-15,3,2,2,Y,fledged,,14,old,2850-57614,2022-06-27,4,4,4,Y,fledged,,,,,,,,,,,,,,,,,,,,,,
HKD,IJM,2850-57885,Blue Cloud,L,N,F,BP,APP,2022-07-02,118.5,118.5,118.5,82,82,82.5,Y,80,80,80,Y,19.27,2022-07-18,17.5,,,,,Y,caught in gazebo,Dk Blue,Yellow,NONE,R,,Y,N,,N,,26,new?,2870-64905,2022-06-14,4,0,0,N,unhatched,ci estimated,26.2,old,2870-64905,2022-07-09,4,0,0,N,unhatched,,,,,,,,,,,,,,,,,,,,,,
HKD,IJM,2870-64905,Blue Cloud,L,N,M,CP,HKD,2022-07-20,121,121.5,121,90,90,90,Y,90,90,90,Y,15.88,,,,,,,Y,caught in gazebo,Purple,Orange,NONE,R,,Y,N,,N,,26,new?,2850-57885,2022-06-14,4,0,0,N,unhatched,ci estimated,26.2,old,2850-57885,2022-07-09,4,0,0,N,unhatched,,,,,,,,,,,,,,,,,,,,,,
HKD,IJM,2850-57886,Blue Cloud,L,N,F,BP,APP,2022-07-02,121,121,121.5,80,80,80.5,Y,79,79,79,Y,18.71,2022-07-20,16.27,,,,,Y,caught off trailer nest,Dk Green,Red,NONE,R,,Y,N,,N,,27,new,UNB,2022-06-23,4,4,4,N,failed,"ci estimated, nestlings died after we moved nest to back stall of barn ~D17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IJM,NC,2850-57685,Boyer,R,N,F,BP,NC,2022-07-07,112,112,111.5,75.5,75.5,75,Y,75,75,75,Y,19.79,,,,,,,Y,,NA,NA,NA,NA,green sharpie,Y,N,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,caught in 3rd stall
IJM,NC,2850-57686,Boyer,R,N,M,CP,IJM,2022-07-07,121.5,121,121,98,98,98,Y,95,95.5,95,Y,19.2,,,,,,,Y,,NA,NA,NA,NA,,Y,N,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,caught in 3rd stall
IJM,NC,2850-57687,Boyer,R,N,F,BP,NC,2022-07-07,118,118,118,71.5,71.5,71.5,Y,NA,NA,NA,N,16.18,,,,,,,Y,,NA,NA,NA,NA,green sharpie,Y,N,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,caught in front stall
IJM,NC,2850-57688,Boyer,L,N,F,BP,HKD,2022-07-07,118,118,118,80,80.5,80.5,Y,79,79,79.5,Y,18.51,,,,,,,Y,,NA,NA,NA,NA,green sharpie,Y,N,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,caught in 3rd stall
IJM,NC,2850-57689,Boyer,R,N,M,CP,Unknown,2022-07-07,123,123,123,99,NA,NA,N,98,NA,NA,N,18.68,,,,,,,Y,,NA,NA,NA,NA,green sharpie,Y,N,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IJM,NC,2870-64906,Boyer,R,N,M,CP,APP,2022-07-20,124,123.5,124,98.5,98,98.5,Y,NA,NA,NA,N,18.79,,,,,,,Y,,NA,NA,NA,NA,,Y,N,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tractor shed
IJM,NC,2870-64918,Boyer,R,N,M,CP,APP,2022-08-11,121.5,121,121.5,NA,NA,NA,N,85,85,85.5,Y,17.83,,,,,,,Y,,NA,NA,NA,NA,,Y,N,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,caught under awning by 3rd stall
IJM,NC,2870-64919,Boyer,R,N,unknown,NA,APP,2022-08-11,116,116.5,116,NA,NA,NA,N,NA,NA,NA,N,17.13,,,,,,,Y,just breast feathers collected,NA,NA,NA,NA,,Y,N,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNB juvenile caught under awning near 3rd stall
AS,HKD,2600-54932,Cargill,R,Y,M,CP,IJM,2022-07-11,121,121,121,90.5,90.5,90.5,Y,91,91,91,Y,19.33,,,,,,,Y,,Lt Blue,Black,NONE,L,,Y,N,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS,HKD,2850-57693,Cargill,R,N,F,BP,IJM,2022-07-11,115,115,115.5,73.5,73.5,73.5,Y,NA,NA,NA,N,18.84,,,,,,,Y,"lump on belly, dark colour",NA,NA,NA,NA,green sharpie,N ,N,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS,HKD,2850-57896,Cargill,R,N,F,BP,APP,2022-07-11,120,120,120.5,74,74,74.5,Y,75,75,74.5,Y,15.54,,,,,,,Y,,NA,NA,NA,NA,,Y,N,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS,HKD,2850-57897,Cargill,R,N,M,CP,SRG,2022-07-11,118,117.5,118,NA,NA,NA,N,82,82,82,Y,15.82,,,,,,,Y,,NA,NA,NA,NA,yellow sharpie,Y,N,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IJM,NC,2850-57666,Cathy's,L,N,M,CP,HKD,2022-06-25,121.5,121.5,121.5,85,85.5,85,Y,84,84,84,Y,18.09,,,,,,,Y,,Orange,Black,NONE,R,,Y,N,,N,,1,old,2850-57667,2022-06-07,5,0,0,N,unhatched,,1.2,old,2850-57667,2022-07-13,4,0,0,N,unhatched,,2,old,2850-57667,2022-08-01,4,1,1,N,failed,1N found dead day 23,,,,,,,,,,,
IJM,NC,2850-57667,Cathy's,L,N,F,BP,HKD,2022-06-25,115,114,114.5,75.5,76,76,Y,77,77,77,Y,16.46,,,,,,,Y,,Lt Blue,Red,NONE,R,,Y,N,,N,,1,old,2850-57666,2022-06-07,5,0,0,N,unhatched,,1.2,old,2850-57666,2022-07-13,4,0,0,N,unhatched,,2,old,2850-57666,2022-08-01,4,1,1,N,failed,1N found dead day 23,,,,,,,,,,,
IJM,NC,2811-83208,CHR,R,Y,M,CP,RJS,2022-06-20,118,118,118,89.5,89.5,89.5,Y,87,87,87,Y,16.9,,,,,,,Y,LTS curled inward,Yellow,Dk Blue,NONE,L,,Y,N,,N,,4,old,2850-57585,2022-05-31,4,3,3,Y,fledged,,4.2,old,2850-57585,2022-07-19,4,4,2,Y,fledged,,,,,,,,,,,,,,,,,,,,,,
IJM,NC,2850-57585,CHR,L,N,F,BP,RS,2022-06-17,121,121,121,76,76,76,Y,76,76,76,Y,15.5,,,,,,,Y,"short, curled TS",Lt Green,White,NONE,R,,Y,N,,N,,4,old,2811-83208,2022-05-31,4,3,3,Y ,fledged,,4.2,old,2811-83208,2022-07-19,4,4,2,Y,fledged,,,,,,,,,,,,,,,,,,,,,,
HKD,NC,2850-57584,CHR,L,N,F,BP,RS,2022-06-17,113,113,113,73.5,74,74,Y,74,74.5,74,Y,17.9,,,,,,,Y,very pale and small,Lt Green,Black,NONE,R,,Y,N,,N,,7,old ,unknown,2022-06-04,5,4,0,N,predated,,9,old,UNB,2022-06-23,4,4,4,Y,fledged,,,,,,,,,,,,,,,,,,,,,,
IJM,NC,2850-57733,CHR,L,Y,M,CP,HKD,2022-06-17,121.5,121.5,122,102,102,102,Y,NA,NA,NA,N,15.66,,,,,,,Y,,Black,Lt Green,NONE,R,,Y ,N,,N,,11,old,UNB,2022-06-25,4,3,3,Y,fledged,likely 2870-64908 but she was UNB while #11 was active so not confirmed,101,old,2870-64908,2022-08-10,4,4,4,Y,fledged,,,,,,,,,,,,,,,,,,,,,,
IJM,NC,2870-64908,CHR,L,N,F,BP,APP,2022-08-07,123,123.5,123,81.5,82,82,Y,80,80,80,Y,18.58,,,,,,,Y,mud on bill,Red,Red,NONE,R,purple sharpie on tail,N ,N,,N,,11,old,2850-57733,2022-06-25,4,3,3,Y,fledged,not confirmed but male at #11 was with UNB female so it is most likely this female,101,old,2850-57733,2022-08-10,4,4,4,Y,fledged,,,,,,,,,,,,,,,,,,,,,,
IJM,NC,2850-57650,CHR,L,N,F,BP,HKD,2022-06-17,116,116.5,116.5,74,74.5,74,Y,74,74.5,74.5,Y,16.49,,,,,,,Y,,Orange,Pink,NONE,R,,Y,N,,N,,25,old,2850-57881,2022-05-23,6,4,4,Y,fledged,,95,old ,2850-57881,2022-07-19,4,3,3,Y,fledged,,,,,,,,,,,,,,,,,,,,,,
IJM,NC,2850-57881,CHR,L,N,M,CP,APP,2022-06-17,120,119.5,119.5,86,85.5,86,Y,85,85,84.5,Y,16.55,,,,,,,Y,right middle toe snapped/damaged. Tip of toes almost fell off by the end of processing,DK Blue,Dk Blue,NONE,R,,Y,N,,N,,25,old,2850-57650,2022-05-23,6,4,4,Y,fledged,,95,old,2850-57650,2022-07-19,4,3,3,Y,fledged,,,,,,,,,,,,,,,,,,,,,,
IJM,NC,2640-97331,CHR,R,Y,F?,BP,HKD,2022-06-17,119,119,119,79,79,79,Y,80,80,79.5,Y,16.76,,,,,,,Y,mud on bill,Orange,Black,NONE,L,,Y,N,,N,,29,old,2850-57808,2022-05-18,5,5,4,Y,fledged,estimated CI,27,old,2850-57808,2022-07-05,4,4,4,Y,fledged,,,,,,,,,,,,,,,,,,,,,,
IJM,NC,2850-57808,CHR,R,Y,M,"CP, color",ASF,2022-08-07,120.5,120.5,120.5,100,100,100,Y,NA,NA,NA,N,17.44,,,,,,,Y,RTS broken,White,Pink,NONE,L,,Y,N,,N,,29,old,2640-97331,2022-05-18,5,5,4,Y,fledged,estimated CI,27,old,2640-97331,2022-07-05,4,4,4,Y,fledged,,,,,,,,,,,,,,,,,,,,,,
IJM,NC,2640-97358,CHR,R,Y,F,BP,HKD,2022-06-17,115,115,115,76.5,76.5,76.5,Y,73,73,73,Y,16.83,,,,,,,Y,,Yellow,Lt Green,NONE,L,,Y,N,,N,,32,old ,2850-57731,2022-05-13,5,5,5,Y,fledged,estimated CI,109,old,2850-57731,2022-07-01,4,0,0,N,unhatched,,32.2,old,2850-57731,2022-08-11,3,3,2,Y,fledged,,,,,,,,,,,,
IJM,NC,2850-57731,CHR,R,Y,M,"CP, color",RS,2022-06-17,119,119,119,92,92,93,Y,91,91,91,Y,15.9,,,,,,,Y,,Yellow,White,NONE,L,,Y,N,,N,,32,old,2640-97358,2022-05-13,5,5,5,Y,fledged,estimated CI,109,old,2640-97358,2022-07-01,4,0,0,N,unhatched,,32.2,old,2640-97358,2022-08-11,3,3,2,Y,fledged,,,,,,,,,,,,
IJM,NC,2850-57586,CHR,L,N,F,BP,RJS,2022-06-20,116.5,116.5,116.5,78.5,79,79,Y,79,79,78.5,Y,19.4,2022-07-21,20.15,,,,,Y,,Purple,Dk Blue,NONE,R,,Y,N,,Y,ibutton,33,old,2850-57669,2022-05-31,5,0,0,N,unhatched,not confirmed because both birds at #33 were UNB and then eggs were never hatched. Possible new clutch laid in same nest so likely it was the same pair there the whole time. Ibutton,33.2,old,2850-57669,2022-07-06,1,0,0,N,unhatched,estimated CI,149,new,2850-57669,2022-07-24,5,4,NA,NA,NA,2N seen but nestlings were never banded ,,,,,,,,,,,
IJM,NC,2850-57669,CHR,R,N,M,CP,HKD,2022-06-28,124,123.5,124,90,90,90,Y,89.5,89.5,90,Y,17.82,,,,,,,Y,,Lt Blue,Lt Green,NONE,L,,Y,N,,Y,ibutton,33,old,2850-57586,2022-05-31,5,0,0,N,unhatched,not confirmed because both birds at #33 were UNB and then eggs were never hatched. Possible new clutch laid in same nest so likely it was the same pair there the whole time. Ibutton,33.2,old,2850-57586,2022-07-06,1,0,0,N,unhatched,estimated CI,149,new,2850-57586,2022-07-24,5,4,NA,NA,NA,2N seen but nestlings were never banded ,,,,,,,,,,,
IJM,NC,2850-57735,CHR,R,Y,F,BP,RS,2022-06-17,116,116,116,79,80,80,Y,78.5,78.5,78.5,Y,17.4,,,,,,,Y,"Recaptured 7/11/22, leg is crooked but not hecrotic, seems like she will survive",Lt Green,Purple,NONE,L,,Y,N,,N,,37,old,2850-57806,2022-05-18,5,5,3,Y,fledged,estimated CI; only 2 fledged,119,old,2850-57806,2022-07-09,4,2,2,Y,fledged,,,,,,,,,,,,,,,,,,,,,,
IJM,NC,2850-57806,CHR,R,Y,M,CP,APP,2022-06-17,120,120,120.5,86,86,86,Y,83.5,84,84,Y,15.88,2022-07-11,16.36,,,,,Y,,Dk Green,White,NONE,L,,Y,N,,N,,37,old,2850-57735,2022-05-18,5,5,3,Y,fledged,estimated CI; only 2 fledged,96,old,2850-57568,2022-05-18,5,5,4,Y,fledged,estimated CI,119,old,2850-57735,2022-07-09,4,2,2,Y,fledged,,96.2,old,2850-57568,2022-07-10,5,4,3,Y,fledged,,attending two different nests for 1st and 2nd broods!
IJM,NC,2850-57620,CHR,L,Y,M,"CP, color",ZML ,2022-06-17,121,121,121,84,84,84,Y,87,87,87,Y,18.2,,,,,,,Y,"tip of bill bent, dark breast color",Black,Yellow,NONE,R,,Y,N,,N,,39,old,2850-57649,2022-05-31,4,4,4,Y,fledged,,39.2,old,2850-57649,2022-07-19,4,4,4,Y,fledged,,,,,,,,,,,,,,,,,,,,,,
IJM,NC,2850-57649,CHR,L,N,F,BP,HKD,2022-06-17,116,116,116,NA,NA,NA,N,73.5,73.5,73.5,Y,17.01,,,,,,,Y,missing whole left half of tail,Orange,Purple,NONE,R,,Y,N,,N,,39,old,2850-57620,2022-05-31,4,4,4,Y,fledged,,39.2,old,2850-57620,2022-07-19,4,4,4,Y,fledged,,,,,,,,,,,,,,,,,,,,,,
HKD,NC,2850-57567,CHR,L,Y,M,"CP, color",RS,2022-06-17,121.5,121.5,121.5,102.5,102.5,102.5,Y,102,102.5,102,Y,16.6,,,,,,,Y,,DK Blue,White,NONE,R,,Y,N,,N,,43,old,2850-57736,2022-05-29,5,5,4,Y,fledged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HKD,NC,2850-57736,CHR,R,Y,F,BP,APP,2022-06-17,117,117,117.5,75,75,74.5,Y,73,73,73,Y,18.71,,,,,,,Y,,Orange,DK Green,NONE,L,,Y,N,,N,,43,old,2850-57567,2022-05-29,5,5,4,Y,fledged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IJM,NC,2850-57646,CHR,L,N,M,"CP, TS",HKD,2022-06-17,118,118,118,92,92,92,Y,93,93,92.5,Y,16.25,,,,,,,Y,,Lt Blue,Lt Blue,NONE,R,,Y,N,,N,,54,old,UNB,2022-05-30,4,0,0,N,unhatched,,54.2,old,UNB,2022-07-05,4,3,3,N ,predated,"nestlings were gone from nest 3 days after banding, too early to fledge so predation assumed",,,,,,,,,,,,,,,,,,,,,
HKD,NC,2850-57571,CHR,L,Y,F,BP,APP,2022-06-17,119,119.5,119,86,86,85.5,Y,79.5,79,79,N,20.23,,,,,,,Y,,White,Red,NONE,R,,Y,N,,N,,58,old,2850-57579,2022-05-24,4,3,3,Y,fledged,,139,old,2850-57880,2022-06-18,4,3,1?,NA,NA,no nestlings banded because they either were predated or got too old. Unsure what happened only 1N seen on D13,,,,,,,,,,,,,,,,,,,,,two different mates
HKD,NC,2850-57579 ,CHR,R,N,M,CP,RS,2022-06-17,118.5,118.5,118.5,92,92,92,Y,93.5,93.5,93.5,Y,16.3,,,,,,,Y,,DK Blue,Lt Blue,NONE,L,,Y,N,,N,,58,old,2850-57571,2022-05-24,4,3,3,Y,fledged,Divorced after 1st brood? Not detected during 2nd broods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,divorced after 1st brood
HKD,NC,2850-57581,CHR,L,N,M,"CP, color",RS,2022-06-17,116,116,116,83,83,83,Y,82.5,82.5,82.5,Y,15.5,,,,,,,Y,curly LTS,White,Yellow,NONE,R,,Y,N,,N,,66,old,2850-57652,2022-05-22,3,3,3,Y,fledged,,16,old,2850-57652,2022-06-10,4,4,4,Y,fledged,,,,,,,,,,,,,,,,,,,,,,
HKD,NC,2850-57652,CHR,L,N,F,BP,HKD,2022-06-17,110.5,110.5,110.5,72,72,72,Y,74,74,74,Y,15.44,,,,,,,Y,,Dk Green,Yellow,NONE,R,,Y,N,,N,,66,old,2850-57581,2022-05-22,3,3,3,Y,fledged,,16,old,2850-57581,2022-06-10,4,4,4,Y,fledged,,,,,,,,,,,,,,,,,,,,,,
IJM,NC,2850-57670,CHR,R,N,F,BP,ASF,2022-06-28,119,119,118.5,80,80,80,Y,NA,NA,NA,N,18.2,,,,,,,Y,,Pink,Orange,NONE,L,,Y,N,,N,,73,old,2850-57671,2022-06-04,5,5,5,Y,fledged,1N found dead on day 14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,caught off nest #73
IJM,NC,2850-57671,CHR,L,N,M,CP,HKD,2022-06-28,118,118,117.5,83.5,83,83,Y,75.5,76,76,N,17.53,,,,,,,Y,RTS regrowing; mud on bill,DK Blue,Pink,NONE,R,,Y ,N,,N,,73,old,2850-57670,2022-06-04,5,5,5,Y ,fledged,1N found dead on day 14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IJM,NC,2850-57582,CHR,R,N,M,"CP, color",RS,2022-06-17,118,118,118,86,86,86,Y,88.5,88.5,88.5,Y,15.9,,,,,,,Y,,Orange,Yellow,NONE,L,,Y,N,,N,,74,old,2850-57746,2022-05-30,4,3,3,Y,fledged,,148,new,2870-64909,2022-07-30,5,5,5,Y,fledged,1N found dead after others fledged,6,old,2850-57746,2022-07-21,5,4,4,Y,fledged,,,,,,,,,,,,attending two nests for 2nd broods!
