"date","initials","day12","est_age","site","nest","brood","eggs","mom_band","dad_band","band","feathers","rwl","mites_nestling","lysis_amt","mass","survived","nestling_notes","mites_pt","nest_notes","nestling_manipulated","nestling_treatment","nestling_manipulation_date","lysis","nestling_num","year","mites","mom_origin","dad_origin","original_site","original_nest","additional_data","clutch_size","max_brood","mites_nest","plasma_amount","slides","tarsus","nestling_manipulation","plasma","sex","mom_biol_band","dad_biol_band"
"2022-06-09","HKD, ASF, NC","Y","12","Blue Cloud","18","1","0","2850-57612","2640-97548","2811-83051","Y","55","0","1/2","20.66","Y","",NA,"we placed PT but when we came back someone had taken it down","N",NA,NA,"Y","1/5","2022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2022-06-09","HKD, ASF, NC","Y","12","Blue Cloud","18","1","0","2850-57612","2640-97548","2811-83052","Y","56","0","1/2","21.15","Y","",NA,"we placed PT but when we came back someone had taken it down","N",NA,NA,"Y","2/5","2022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2022-06-09","HKD, ASF, NC","Y","12","Blue Cloud","18","1","0","2850-57612","2640-97548","2811-83053","Y","52","0","1/2","21.74","Y","",NA,"we placed PT but when we came back someone had taken it down","N",NA,NA,"Y","3/5","2022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2022-06-09","HKD, ASF, NC","Y","12","Blue Cloud","18","1","0","2850-57612","2640-97548","2811-83054","Y","53","0","1/3","21.2","Y","",NA,"we placed PT but when we came back someone had taken it down","N",NA,NA,"Y","4/5","2022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2022-06-09","HKD, ASF, NC","Y","12","Blue Cloud","18","1","0","2850-57612","2640-97548","2811-83055","Y","51","0","2/3","20.94","Y","",NA,"we placed PT but when we came back someone had taken it down","N",NA,NA,"Y","5/5","2022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2022-06-10","HKD, IJM","Y","12","Struthers","10","1","0","2850-57551","2850-57552","2811-83056","Y","56","0","1/5","19.42","Y","","0","","N",NA,NA,"Y","1/5","2022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2022-06-10","HKD, IJM","Y","12","Struthers","10","1","0","2850-57551","2850-57552","2811-83057","Y","55","0","1/3","19.06","Y","","0","","N",NA,NA,"Y","2/5","2022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2022-06-10","HKD, IJM","Y","12","Struthers","10","1","0","2850-57551","2850-57552","2811-83058","Y","51.5","0","1/2","19.62","Y","","0","","N",NA,NA,"Y","3/5","2022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2022-06-10","HKD, IJM","Y","12","Struthers","10","1","0","2850-57551","2850-57552","2811-83059","Y","57.5","0","1/4","20.23","Y","","0","","N",NA,NA,"Y","4/5","2022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2022-06-10","HKD, IJM","Y","12","Struthers","10","1","0","2850-57551","2850-57552","2811-83060","Y","58","0","1/8","19.68","Y","","0","","N",NA,NA,"Y","5/5","2022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
