band,site,recap,sex,date_captured,rwl1,rwl2,rwl3,intact_lts,intact_rts,lts1,lts2,lts3,rts1,rts2,rts3,mass_1,color_top,color_bottom,mb_tape,cb_side,lysis,nest_1,mate_band_1,ci_1,eggs_1,hatched_1,day_12_1,nest_fate_1,success_1,nest_2,mate_band_2,ci_2,eggs_2,hatched_2,day_12_2,nest_fate_2,success_2,nest_3,mate_band_3,ci_3,eggs_3,hatched_3,day_12_3,nest_fate_3,success_3,nest_4,mate_band_4,ci_4,eggs_4,hatched_4,day_12_4,nest_fate_4,success_4,throat_avg_bright,breast_avg_bright,belly_avg_bright,vent_avg_bright,year,julian_ci_1,julian_ci_2,julian_ci_3,julian_ci_4,mean_rwl,mean_rts,mean_lts
2350-21085,Make Believe,Y,M,2022-06-02,119,119,119,N,Y,NA,NA,NA,84.5,84.5,84.5,18.2,Dk Green,Pink,NONE,L,Y,73,2640-97596,2022-05-16,5,5,5,fledged,Y,73.2,2640-97596,2022-07-05,5,5,5,fledged,Y,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,9.637572283,28.84809571,35.25318711,28.30530741,2022,136,186,NA,NA,119,84.5,NA
2350-21096,Golden Grizzly,Y,F,2022-07-14,116,116,116,N,Y,NA,NA,NA,77.5,77.5,77.5,18.6,Pink,Orange,NONE,L,Y,,,NA,,,,,,,,NA,NA,NA,,,,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,11.42890495,23.14585743,25.46271186,21.91368893,2022,NA,NA,NA,NA,116,77.5,NA
2600-54932,Cargill,Y,M,2022-07-11,121,121,121,Y,Y,90.5,90.5,90.5,91,91,91,19.33,Lt Blue,Black,NONE,L,Y,,,NA,,,,,,,,NA,NA,NA,,,,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,NA,NA,NA,NA,2022,NA,NA,NA,NA,121,91,90.5
2640-97331,Colorado Horse Rescue,Y,F?,2022-06-17,119,119,119,Y,Y,79,79,79,80,80,79.5,16.76,Orange,Black,NONE,L,Y,29,2850-57808,2022-05-18,5,5,4,fledged,Y,27,2850-57808,2022-07-05,4,4,4,fledged,Y,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,9.83579096,18.81945995,19.5594101,18.82038717,2022,138,186,NA,NA,119,79.83333333,79
2640-97358,Colorado Horse Rescue,Y,F,2022-06-17,115,115,115,Y,Y,76.5,76.5,76.5,73,73,73,16.83,Yellow,Lt Green,NONE,L,Y,32,2850-57731,2022-05-13,5,5,5,fledged,Y,109,2850-57731,2022-07-01,4,0,0,unhatched,N,32.2,2850-57731,2022-08-11,3,3,2,fledged,Y,NA,,NA,NA,NA,NA,,,13.77641409,19.740555,21.14287305,22.67428049,2022,133,182,223,NA,115,73,76.5
2640-97548,Blue Cloud,Y,M,2022-05-06,120,120,120,Y,Y,77,77.5,77,80,80,79.5,20,White,Black,White,L,Y,18,2850-57612,2022-05-11,5,5,5,fledged,Y,21,2850-57612,2022-06-27,5,5,5,fledged,Y,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,8.556945829,16.23411599,13.59760386,18.35999003,2022,131,178,NA,NA,120,79.83333333,77.16666667
2640-97588,Colorado Horse Rescue,Y,M,2022-07-11,119,119,119,Y,Y,85,85,85,87,87,87,18.7,Lt Blue,DK Green,NONE,R,Y,93,2850-57730,2022-05-14,5,5,5,fledged,Y,93.2,2850-57730,2022-07-01,5,4,4,fledged,Y,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,11.85018943,14.45612662,21.21705716,27.50362745,2022,134,182,NA,NA,119,87,85
2640-97589,Colorado Horse Rescue,Y,M,2022-06-17,119,119,119,Y,Y,98,98,98,99.5,99.5,100,16.1,Black,White,NONE,L,Y,102,2811-38984,2022-05-16,5,3,3,fledged,Y,102.2,2811-38984,2022-07-04,5,4,4,fledged,Y,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,11.8153556,16.91354271,18.6526321,20.65218677,2022,136,185,NA,NA,119,99.66666667,98
2640-97596,Make Believe,Y,F,2022-06-02,114,114.5,114,Y,Y,74,74,74,75,75,75,19.6,Dk Blue,Orange,NONE,L,Y,73,2350-21085,2022-05-16,5,5,5,fledged,Y,73.2,2350-21085,2022-07-05,5,5,5,fledged,Y,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,14.9893104,28.48857095,30.15,26.80653706,2022,136,186,NA,NA,114.1666667,75,74
2811-00632,Ericas,Y,M,2022-06-10,126,126,126,N,Y,98,98,98,101,101,101.5,19.7,Red,Lt Blue,NONE,L,Y,1,2850-57741,2022-05-22,3,3,0,predated,N,2,2850-57741,2022-06-23,4,4,0,failed,N,3,2850-57741,2022-07-24,5,2,0,predated,N,NA,,NA,NA,NA,NA,,,11.03612994,26.50972915,20.39357095,17.89136923,2022,142,174,205,NA,126,101.1666667,98
2811-38984,Colorado Horse Rescue,Y,F,2022-06-17,116,116,116,Y,Y,81.5,81.5,81.5,81.5,81.5,81.5,15.8,Red,Lt Blue,NONE,L,Y,102,2640-97589,2022-05-16,5,3,3,fledged,Y,102.2,2640-97589,2022-07-04,5,4,4,fledged,Y,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,14.51881356,20.07807245,23.66085577,25.18879362,2022,136,185,NA,NA,116,81.5,81.5
2811-39093,Schaap,Y,M,2022-07-05,119,119,119,Y,Y,88.5,88.5,88.5,90.5,90.5,90.5,17.7,NA,NA,NA,NA,Y,,,NA,,,,,,,,NA,NA,NA,,,,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,13.93653539,26.6778099,24.46093387,28.6566783,2022,NA,NA,NA,NA,119,90.5,88.5
2811-82969,Colorado Horse Rescue,Y,M,2022-06-17,122,122,122,Y,N,71.5,71.5,71.5,NA,NA,NA,17.85,Dk Green,Lt Green,NONE,R,Y,85,2850-57882,2022-05-30,NA,NA,NA,fledged,Y,,,NA,NA,NA,,,,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,17.64881024,26.15807079,22.53324859,23.19092223,2022,150,NA,NA,NA,122,NA,71.5
