"Band_mom","FamilyID_mom","clutch_id_ind2","brood","num.tot.mates","num.tot.chicks","num.ep.mates","num.ep.chicks"
"2640-97331","CHR-029","CHR_27_2",2,2,4,1,1
"2640-97331","CHR-029","CHR_29_1",1,2,4,1,2
"2640-97358","CHR-032","CHR_32_1",1,2,5,1,1
"2640-97358","CHR-032","CHR_32_3",3,1,2,0,0
"2640-97596","MakeBelieve-73","Make Believe_73_1",1,1,5,0,0
"2640-97596","MakeBelieve-73","Make Believe_73_2",2,2,5,1,3
"2811-38984","CHR-102","CHR_102.2_2",2,1,4,0,0
"2811-38984","CHR-102","CHR_102_1",1,1,3,0,0
"2811-83207","DomeHouse-01","Dome House_1_1",1,1,2,0,0
"2811-83207","DomeHouse-01","Dome House_2_2",2,1,2,1,2
"2850-57550","MaryAnns-01","Mary Ann's_1_2",2,1,3,0,0
"2850-57551","Struthers-10","Struther's_10_1",1,2,5,1,1
"2850-57551","Struthers-10","Struther's_20_2",2,2,5,1,1
"2850-57568","CHR-096","CHR_96_1",1,1,4,1,4
"2850-57568","CHR-096","CHR_96_2",2,2,3,2,3
"2850-57571","CHR-058","CHR_58_1",1,2,4,2,4
"2850-57572","BlueCloud-05","Blue Cloud_5_1",1,1,1,0,0
"2850-57572","BlueCloud-05","Blue Cloud_5_2",2,1,4,0,0
"2850-57575","Cooks-04","Cook's_4_1",1,2,4,1,2
"2850-57576","MakeBelieve-14","Make Believe_14_1",1,2,4,1,1
"2850-57576","MakeBelieve-14","Make Believe_69_2",2,1,2,0,0
"2850-57583","CHR-097","CHR_19_2",2,1,4,0,0
"2850-57583","CHR-097","CHR_97_1",1,1,4,0,0
"2850-57585","CHR-004","CHR_4_1",1,2,3,2,3
"2850-57585","CHR-004","CHR_4_2",2,2,2,1,1
"2850-57588","CHR-045","CHR_45_2",2,2,4,2,4
"2850-57608","UrbanFarm-02","Urban Farm_2_1",1,2,3,1,1
"2850-57609","Cooks-06","Cook's_6_1",1,1,5,1,5
"2850-57612","BlueCloud-18","Blue Cloud_18_1",1,1,5,0,0
"2850-57612","BlueCloud-18","Blue Cloud_21_2",2,2,5,1,1
"2850-57629","UrbanFarm-08","Urban Farm_8_1",1,1,3,0,0
"2850-57629","UrbanFarm-08","Urban Farm_8_2",2,2,4,1,3
"2850-57635","MakeBelieve-38","Make Believe_34_1",1,3,4,2,2
"2850-57635","MakeBelieve-38","Make Believe_38_2",2,2,4,1,3
"2850-57637","Cooks-02","Cook's_2_1",1,1,1,0,0
"2850-57640","McCauley-01","McCauley_1_1",1,1,2,0,0
"2850-57640","McCauley-01","McCauley_2_2",2,1,4,1,4
"2850-57645","Struthers-03","Struther's_3_2",2,1,4,1,4
"2850-57648","CHR-133","CHR_133_1",1,1,1,1,1
"2850-57648","CHR-133","CHR_151_2",2,2,3,1,1
"2850-57649","CHR-039","CHR_39_1",1,1,4,0,0
"2850-57649","CHR-039","CHR_39_2",2,1,4,0,0
"2850-57650","CHR-025","CHR_25_1",1,3,4,2,2
"2850-57650","CHR-025","CHR_95_2",2,2,3,1,1
"2850-57652","CHR-066","CHR_16_2",2,1,4,0,0
"2850-57652","CHR-066","CHR_66_1",1,1,2,1,2
"2850-57654","CHR-080","CHR_80_1",1,3,4,2,2
"2850-57656","CHR-078","CHR_78_1",1,2,5,1,3
"2850-57661","Karens-01","Karen's_1.2_2",2,1,3,0,0
"2850-57663","Cooks-31","Cook's_14_2",2,1,4,0,0
"2850-57663","Cooks-31","Cook's_31_1",1,1,3,0,0
"2850-57664","Cooks-27","Cook's_27_1",1,2,3,1,1
"2850-57667","Cathys-02","Cathy's_2_2",2,1,1,0,0
"2850-57670","CHR-073","CHR_73_1",1,2,5,1,1
"2850-57672","Cooks-17","Cook's_17_1",1,2,4,1,2
"2850-57685","Boyer-05-07","Boyer's_5_2",2,1,2,0,0
"2850-57688","Boyer-05-07","Boyer's_7_2",2,1,5,0,0
"2850-57692","Marty-01","Marte's_2_2",2,1,3,0,0
"2850-57692","Marty-01","Marty's_1_1",1,1,3,0,0
"2850-57698","Speedwell-01","Speedwell_1_1",1,2,4,1,2
"2850-57700","Cooks-33","Cook's_33_1",1,1,4,0,0
"2850-57730","CHR-093","CHR_93_1",1,1,5,0,0
"2850-57730","CHR-093","CHR_93_2",2,3,4,2,2
"2850-57735","CHR-037","CHR_119_2",2,1,2,0,0
"2850-57735","CHR-037","CHR_37_1",1,2,3,1,2
"2850-57736","CHR-043","CHR_43_1",1,1,5,0,0
"2850-57746","CHR-074","CHR_6_2",2,3,4,2,3
"2850-57746","CHR-074","CHR_74_1",1,2,3,1,1
"2850-57753","McCauley-04","McCauley_4_1",1,1,4,0,0
"2850-57846","CHR-110","CHR_110_1",1,1,4,0,0
"2850-57846","CHR-110","CHR_52_2",2,2,2,1,1
"2850-57853","Cooks-29","Cook's_29_1",1,3,5,2,3
"2850-57853","Cooks-29","Cook's_8_2",2,2,5,1,2
"2850-57869","BlueCloud-04","Blue Cloud_17_2",2,3,4,2,2
"2850-57869","BlueCloud-04","Blue Cloud_4_1",1,1,2,1,2
"2850-57870","BlueCloud-19","Blue Cloud_19_1",1,1,1,0,0
"2850-57870","BlueCloud-19","Blue Cloud_24_2",2,1,5,0,0
"2850-57871","BlueCloud-22","Blue Cloud_14_2",2,2,4,1,1
"2850-57871","BlueCloud-22","Blue Cloud_22_1",1,1,2,0,0
"2850-57872","MakeBelieve-26","Make Believe_26_1",1,2,4,2,4
"2850-57872","MakeBelieve-26","Make Believe_48_2",2,1,4,0,0
"2850-57874","MakeBelieve-08","Make Believe_8_1",1,2,2,1,1
"2850-57878","MakeBelieve-13","Make Believe_13_1",1,1,3,0,0
"2850-57879","CHR-112","CHR_112.2_2",2,2,4,2,4
"2850-57879","CHR-112","CHR_112_1",1,2,4,1,2
"2850-57883","CHR-099","CHR_99_1",1,1,4,0,0
"2850-57883","CHR-099","CHR_99_2",2,2,4,1,2
"2870-64909","CHR-148","CHR_148_2",2,1,4,0,0
"2870-65003","CHR-128","CHR_128_1",1,1,4,0,0
"2870-65003","CHR-128","CHR_150_2",2,1,1,0,0
