band,first_date,first_year,est.age,site_2022,certainty
2870-64917,2022-08-10,2022,0,Mary Ann's,exact
2870-64911,2022-08-07,2022,0,CHR,exact
2870-64919,2022-08-11,2022,0,Boyer,exact
2870-65006,2022-07-14,2022,0,Grizz,exact
2870-65008,2022-07-14,2022,0,Grizz,exact
2811-39093,2021-08-10,2021,1,Schaap ,exact
2811-82969,2021-07-13,2021,1,CHR,exact
2811-83207,2021-07-16,2021,1,Dome House,exact
2811-83208,2021-07-16,2021,1,CHR,exact
2811-83402,2021-07-23,2021,1,Schaap ,exact
2811-83409,2021-08-12,2021,1,CHR,exact
2811-38984,2020-06-17,2020,2,CHR,exact
2811-00632,2019-06-20,2019,3,Erica's,exact
2850-57572,2022-05-26,2022,1,Blue Cloud,good
2850-57575,2022-05-28,2022,1,Cooks,good
2850-57576,2022-06-02,2022,1,Make Believe,good
2850-57637,2022-05-28,2022,1,Cooks,good
2850-57645,2022-06-16,2022,1,Struthers,good
2850-57663,2022-06-24,2022,1,Cooks,good
2850-57664,2022-06-24,2022,1,Cooks,good
2850-57667,2022-06-25,2022,1,Cathy's,good
2850-57672,2022-06-29,2022,1,Cooks,good
2850-57682,2022-07-05,2022,1,Schaap ,good
2850-57683,2022-07-07,2022,1,Struthers,good
2850-57700,2022-07-18,2022,1,Cooks,good
2850-57749,2022-07-27,2022,1,Cooks,good
2850-57869,2022-06-06,2022,1,Blue Cloud,good
2850-57870,2022-06-06,2022,1,Blue Cloud,good
2850-57871,2022-06-06,2022,1,Blue Cloud,good
2850-57872,2022-06-07,2022,1,Make Believe,good
2850-57874,2022-06-07,2022,1,Make Believe,good
2850-57876,2022-06-14,2022,1,Make Believe,good
2850-57878,2022-06-14,2022,1,Make Believe,good
2850-57885,2022-07-02,2022,1,Blue Cloud,good
2850-57886,2022-07-02,2022,1,Blue Cloud,good
2850-57891,2022-07-05,2022,1,Schaap ,good
2850-57892,2022-07-05,2022,1,Schaap ,good
2850-57893,2022-07-05,2022,1,Schaap ,good
2850-57894,2022-07-05,2022,1,Schaap ,good
2850-57900,2022-07-14,2022,1,Grizz,good
2870-64901,2022-07-14,2022,1,Grizz,good
2870-64903,2022-07-14,2022,1,Grizz,good
2870-64914,2022-08-10,2022,1,Cooks,good
2870-65002,2022-07-05,2022,1,Schaap ,good
2870-65005,2022-07-14,2022,1,Grizz,good
2870-65007,2022-07-14,2022,1,Grizz,good
2870-65009,2022-07-14,2022,1,Grizz,good
2850-57573,2022-05-28,2022,1,Cooks,good
2850-57574,2022-05-28,2022,1,Cooks,good
2850-57598,2022-07-05,2022,1,Schaap ,good
2850-57600,2022-07-05,2022,1,Schaap ,good
2850-57638,2022-05-28,2022,1,Cooks,good
2850-57659,2022-06-18,2022,1,Blue Cloud,good
2850-57665,2022-06-24,2022,1,Cooks,good
2850-57666,2022-06-25,2022,1,Cathy's,good
2850-57668,2022-06-25,2022,1,Make Believe,good
2850-57673,2022-06-29,2022,1,Cooks,good
2850-57674,2022-06-30,2022,1,Struthers,good
2850-57675,2022-07-01,2022,1,Cooks,good
2850-57676,2022-07-01,2022,1,Cooks,good
2850-57680,2022-07-04,2022,1,Make Believe,good
2850-57681,2022-07-05,2022,1,Schaap ,good
2850-57684,2022-07-07,2022,1,Struthers,good
2850-57697,2022-07-14,2022,1,Grizz,good
2850-57750,2022-08-11,2022,1,Make Believe,good
2850-57868,2022-06-01,2022,1,Urban Farm Girlz,good
2850-57873,2022-06-07,2022,1,Make Believe,good
2850-57875,2022-06-07,2022,1,Make Believe,good
2850-57877,2022-06-14,2022,1,Make Believe,good
2850-57895,2022-07-05,2022,1,Schaap ,good
2850-57898,2022-07-14,2022,1,Grizz,good
2850-57899,2022-06-01,2022,1,Urban Farm Girlz,good
2870-64905,2022-07-20,2022,1,Blue Cloud,good
2870-64915,2022-08-10,2022,1,Cooks,good
2870-64916,2022-08-10,2022,1,Mary Ann's,good
2870-65001,2022-07-05,2022,1,Schaap ,good
2870-64904,2022-07-14,2022,1,Grizz,good
2850-57550,2021-05-26,2021,2,Mary Ann's,good
2850-57551,2021-06-03,2021,2,Struthers,good
2850-57568,2021-08-12,2021,2,CHR,good
2850-57571,2021-08-12,2021,2,CHR,good
2850-57604,2021-06-04,2021,2,Schaap ,good
2850-57609,2021-06-08,2021,2,Cooks,good
2850-57612,2021-06-21,2021,2,Blue Cloud,good
2850-57629,2021-07-21,2021,2,Urban Farm Girlz,good
2850-57635,2021-07-26,2021,2,Make Believe,good
2850-57730,2021-08-12,2021,2,CHR,good
2850-57735,2021-08-12,2021,2,CHR,good
2850-57736,2021-08-12,2021,2,CHR,good
2850-57737,2021-08-12,2021,2,CHR,good
2850-57737,2021-08-12,2021,2,CHR,good
2850-57853,2021-06-01,2021,2,Cooks,good
2850-57904,2021-06-29,2021,2,Schaap ,good
2850-57552,2021-06-03,2021,2,Struthers,good
2850-57557,2021-06-08,2021,2,Cooks,good
2850-57560,2021-06-18,2021,2,Grizz,good
2850-57563,2021-06-19,2021,2,Schaap ,good
2850-57565,2021-06-21,2021,2,Blue Cloud,good
2850-57567,2021-08-12,2021,2,CHR,good
2850-57570,2021-08-12,2021,2,CHR,good
2850-57607,2021-06-04,2021,2,Schaap ,good
2850-57614,2021-06-23,2021,2,Blue Cloud,good
2850-57619,2021-07-02,2021,2,Reinarz,good
2850-57620,2021-07-07,2021,2,CHR,good
2850-57633,2021-07-22,2021,2,Cooks,good
2850-57636,2021-07-30,2021,2,Jays,good
2850-57733,2021-08-12,2021,2,CHR,good
2850-57901,2021-06-23,2021,2,Blue Cloud,good
2850-57731,2021-08-12,2021,2,CHR,good
2640-97596,2020-06-12,2020,3,Make Believe,good
2850-57519,2020-07-07,2020,3,Grizz,good
2850-57846,2020-07-25,2020,3,CHR,good
2640-97589,2020-05-30,2020,3,CHR,good
2850-57518,2020-07-06,2020,3,Make Believe,good
2850-57701,2020-07-28,2020,3,Schaap ,good
2850-57808,2020-05-30,2020,3,CHR,good
2640-97588,2020-05-30,2020,3,CHR,good
2850-57806,2020-05-30,2020,3,CHR,good
2350-21096,2019-06-17,2019,4,Grizz,good
