"bird","data.name","Chi.sqr","p.val","variable","grouping"
"female","tail by site",10.0113729804853,0.349565288354229,"tail","site"
"female","tail by site.size",3.73180272471669,0.154756655175996,"tail","site.size"
"female","throat_avg_bright by site",10.8156028368794,0.288560558679735,"throat_avg_bright","site"
"female","throat_avg_bright by site.size",2.92646509891753,0.231486771541292,"throat_avg_bright","site.size"
"female","breast_avg_bright by site",13.3943438615039,0.145559261691594,"breast_avg_bright","site"
"female","breast_avg_bright by site.size",7.04206863133783,0.0295688358357192,"breast_avg_bright","site.size"
"female","belly_avg_bright by site",9.31412713096339,0.408797325518616,"belly_avg_bright","site"
"female","belly_avg_bright by site.size",4.43319677547245,0.108979183970728,"belly_avg_bright","site.size"
"female","vent_avg_bright by site",13.8159772697238,0.129023499230778,"vent_avg_bright","site"
"female","vent_avg_bright by site.size",5.26219109290341,0.0719995401745036,"vent_avg_bright","site.size"
"female","ci_1_julian by site",9.76874176875482,0.369529364531313,"ci_1_julian","site"
"female","ci_1_julian by site.size",1.46685493812225,0.480260089328774,"ci_1_julian","site.size"
"female","num.tot.mates by site",6.94038213271368,0.643326542318124,"num.tot.mates","site"
"female","num.tot.mates by site.size",3.65945589509534,0.160457214616519,"num.tot.mates","site.size"
"female","num.epo by site",7.36589812051951,0.599081276588342,"num.epo","site"
"female","num.epo by site.size",0.449813512291528,0.798590678960708,"num.epo","site.size"
"female","season.prop.ep by site",7.45769452225336,0.589579214312455,"season.prop.ep","site"
"female","season.prop.ep by site.size",0.377485007825589,0.82799968592648,"season.prop.ep","site.size"
"socM","socM_tail by site",2.43933321137638,0.964499893308189,"socM_tail","site"
"socM","socM_tail by site.size",0.543760196591233,0.761945614190821,"socM_tail","site.size"
"socM","socM_t.avg.bright by site",9.99256815098061,0.35108719942879,"socM_t.avg.bright","site"
"socM","socM_t.avg.bright by site.size",3.04236453042066,0.218453464289349,"socM_t.avg.bright","site.size"
"socM","socM_r.avg.bright by site",5.86633905443268,0.662200952436339,"socM_r.avg.bright","site"
"socM","socM_r.avg.bright by site.size",3.24991351574941,0.196920190267629,"socM_r.avg.bright","site.size"
"socM","socM_b.avg.bright by site",4.5188276270323,0.874077759267999,"socM_b.avg.bright","site"
"socM","socM_b.avg.bright by site.size",0.577994277396302,0.749014348555744,"socM_b.avg.bright","site.size"
"socM","socM_v.avg.bright by site",5.20807720370597,0.815805438203837,"socM_v.avg.bright","site"
"socM","socM_v.avg.bright by site.size",2.55955181390885,0.278099613660354,"socM_v.avg.bright","site.size"
"male","tail by site",2.74665838307869,0.949236686321968,"tail","site"
"male","tail by site.size",0.712866204483518,0.700169309660124,"tail","site.size"
"male","throat_avg_bright by site",9.42223910840934,0.399245020009288,"throat_avg_bright","site"
"male","throat_avg_bright by site.size",2.76203807390817,0.251322315797127,"throat_avg_bright","site.size"
"male","breast_avg_bright by site",5.74136041263699,0.676177438561216,"breast_avg_bright","site"
"male","breast_avg_bright by site.size",3.03885014761275,0.218837666298337,"breast_avg_bright","site.size"
"male","belly_avg_bright by site",4.53271490414346,0.872995072343393,"belly_avg_bright","site"
"male","belly_avg_bright by site.size",0.586026755199697,0.746012160778299,"belly_avg_bright","site.size"
"male","vent_avg_bright by site",5.11999458874459,0.823725037583267,"vent_avg_bright","site"
"male","vent_avg_bright by site.size",2.34297710882029,0.309905286870388,"vent_avg_bright","site.size"
"male","num.tot.mates by site",6.75820643899354,0.662277078472086,"num.tot.mates","site"
"male","num.tot.mates by site.size",2.20034464865695,0.332813726854245,"num.tot.mates","site.size"
"male","ep.chick by site",5.31693496529668,0.80585151301968,"ep.chick","site"
"male","ep.chick by site.size",2.59109175275559,0.273748390758136,"ep.chick","site.size"
"male","prop.sired.epo by site",5.79246541073761,0.760496147578953,"prop.sired.epo","site"
"male","prop.sired.epo by site.size",2.11983715848973,0.346484020172174,"prop.sired.epo","site.size"
"socF","socF_tail by site",9.9929619964117,0.351055280736929,"socF_tail","site"
"socF","socF_tail by site.size",3.5830773312338,0.166703471331678,"socF_tail","site.size"
"socF","socF_t.avg.bright by site",10.5829661410019,0.30538031793454,"socF_t.avg.bright","site"
"socF","socF_t.avg.bright by site.size",2.36464770460475,0.306565497251714,"socF_t.avg.bright","site.size"
"socF","socF_r.avg.bright by site",13.4728401031593,0.142351670864136,"socF_r.avg.bright","site"
"socF","socF_r.avg.bright by site.size",7.05102314942741,0.0294367444224242,"socF_r.avg.bright","site.size"
"socF","socF_b.avg.bright by site",9.72054319793679,0.373578969566961,"socF_b.avg.bright","site"
"socF","socF_b.avg.bright by site.size",4.77270040833869,0.0919647245588027,"socF_b.avg.bright","site.size"
"socF","socF_v.avg.bright by site",13.5587927143778,0.138908085929203,"socF_v.avg.bright","site"
"socF","socF_v.avg.bright by site.size",5.27748994504313,0.0714508861344465,"socF_v.avg.bright","site.size"
