"","mean_rwl","tail","throat_avg_bright","breast_avg_bright","belly_avg_bright","vent_avg_bright","ci_1_julian","socM_rwl","socM_tail","socM_t.avg.bright","socM_r.avg.bright","socM_b.avg.bright","socM_v.avg.bright","tot.chick"
"mean_rwl","1 ","","","","","","","","","","","","",""
"tail"," 0.36*   ","1 ","","","","","","","","","","","",""
"throat_avg_bright","-0.23    ","-0.12    ","1 ","","","","","","","","","","",""
"breast_avg_bright"," 0.25    ","-0.05    "," 0.20    ","1 ","","","","","","","","","",""
"belly_avg_bright"," 0.04    ","-0.01    "," 0.16    "," 0.60****","1 ","","","","","","","","",""
"vent_avg_bright"," 0.18    "," 0.03    "," 0.15    "," 0.52*** "," 0.62****","1 ","","","","","","","",""
"ci_1_julian"," 0.04    ","-0.18    ","-0.01    "," 0.03    "," 0.01    ","-0.12    ","1 ","","","","","","",""
"socM_rwl"," 0.26    "," 0.00    "," 0.02    ","-0.01    ","-0.18    ","-0.05    "," 0.01    ","1 ","","","","","",""
"socM_tail","-0.02    "," 0.16    "," 0.24    ","-0.22    ","-0.11    "," 0.13    ","-0.18    "," 0.36*   ","1 ","","","","",""
"socM_t.avg.bright"," 0.07    ","-0.02    "," 0.13    "," 0.13    "," 0.21    "," 0.28    "," 0.30*   ","-0.08    "," 0.10    ","1 ","","","",""
"socM_r.avg.bright"," 0.08    ","-0.14    "," 0.19    "," 0.19    "," 0.14    ","-0.07    "," 0.24    ","-0.03    "," 0.02    "," 0.20    ","1 ","","",""
"socM_b.avg.bright","-0.21    ","-0.28    ","-0.01    "," 0.05    "," 0.32*   "," 0.08    "," 0.35*   ","-0.24    ","-0.18    "," 0.35*   "," 0.54*** ","1 ","",""
"socM_v.avg.bright","-0.14    ","-0.11    "," 0.23    "," 0.16    "," 0.18    "," 0.00    "," 0.14    ","-0.10    ","-0.07    "," 0.19    "," 0.40**  "," 0.47*** ","1 ",""
"tot.chick"," 0.06    "," 0.34*   ","-0.05    ","-0.03    "," 0.01    "," 0.22    ","-0.55****","-0.01    "," 0.25    ","-0.21    ","-0.11    ","-0.10    ","-0.15    ","1 "
