"band","site","sex","mean_rwl","mean_rts","mean_lts","mate_band_1","throat_avg_bright","breast_avg_bright","belly_avg_bright","vent_avg_bright","ci_1","tot_eggs","tot_fledge","prop.fledge","est.age","certainty","tot.chick","ep.yes","season.prop.ep","socM_t.avg.bright","socM_r.avg.bright","socM_b.avg.bright","socM_v.avg.bright","socM_rwl","socM_rts","socM_lts","socM_est.age","socM_certainty","socM_tail","tail","age.class","age.class.bin","socM_age.bin","season.prop.wp","ci_1_julian","site.size","num.epo","num.tot.mates"
"2640-97331","Colorado Horse Rescue","F?",119,79.83333333,79,"2850-57808",9.83579096,18.81945995,19.5594101,18.82038717,"2022-05-18",9,8,0.888888888888889,5,"good",8,1,0.375,11.46748421,15.37756564,20.6164008,18.7548222,120.5,NA,100,3,"good",100,79.83333333,"ASY",1,1,0.625,138,"large",3,3
"2640-97358","Colorado Horse Rescue","F",115,73,76.5,"2850-57731",13.77641409,19.740555,21.14287305,22.67428049,"2022-05-13",12,7,0.583333333333333,4,"good",7,1,0.142857142857143,10.9634214,23.24545364,18.5751562,24.60593387,119,91,92.33333333,2,"good",91,73,"ASY",1,1,0.857142857142857,133,"large",1,2
"2640-97596","Make Believe","F",114.1666667,75,74,"2350-21085",14.9893104,28.48857095,30.15,26.80653706,"2022-05-16",10,10,1,3,"good",10,1,0.3,9.637572283,28.84809571,35.25318711,28.30530741,119,84.5,NA,4,"good",84.5,75,"ASY",1,1,0.7,136,"medium",3,2
"2811-38984","Colorado Horse Rescue","F",116,81.5,81.5,"2640-97589",14.51881356,20.07807245,23.66085577,25.18879362,"2022-05-16",10,7,0.7,2,"exact",7,0,0,11.8153556,16.91354271,18.6526321,20.65218677,119,99.66666667,98,3,"good",99.66666667,81.5,"ASY",1,1,1,136,"large",0,1
"2811-83207","Dome House","F",118,75.83333333,75.16666667,"2850-57643",20.11934696,23.95448986,15.60926886,17.37049684,"2022-06-02",8,5,0.625,1,"exact",4,1,0.5,10.66305085,33.82466434,21.3687903,25.78640412,121.8333333,89.33333333,89.16666667,1,"low",89.33333333,75.83333333,"SY",0,0,0.5,153,"small",2,2
"2850-57551","Struthers","F",120.5,77.5,78,"2850-57552",21.72451147,25.07222499,24.04588401,29.70191592,"2022-05-11",11,10,0.909090909090909,2,"good",10,1,0.2,16.47890661,28.13388501,26.12840312,25.80811565,124.1666667,95,95.5,2,"good",95,77.5,"ASY",1,1,0.8,131,"small",2,2
"2850-57568","Colorado Horse Rescue","F",118,79.5,NA,"2850-57806",15.13231971,25.47213526,23.5398787,23.32200897,"2022-05-18",10,7,0.7,2,"good",7,1,1,11.25502825,14.26422898,18.0460319,17.57589232,120.1666667,83.83333333,86,3,"good",83.83333333,79.5,"ASY",1,1,0,138,"large",7,3
"2850-57572","Blue Cloud","F",116,72.5,73,"2850-57901",14.36983716,26.78334829,24.28170156,21.60617979,"2022-05-22",10,5,0.5,1,"good",5,0,0,10.28857926,32.82417747,29.76531572,29.26528913,120.1666667,83,88.83333333,2,"good",83,72.5,"SY",0,1,1,142,"medium",0,1
"2850-57575","Cooks","F",118.1666667,73.33333333,76.5,"2850-57574",17.39330841,38.62646062,29.39766035,30.38286142,"2022-06-02",4,4,1,1,"good",4,1,0.5,11.90285975,21.77220837,18.26303423,20.35447823,121,88,90,1,"good",88,73.33333333,"SY",0,0,0.5,153,"medium",2,2
"2850-57576","Make Believe","F",118,79.16666667,79.33333333,"2850-57518",14.04054005,31.59471751,29.94176304,27.9942888,"2022-05-28",9,6,0.666666666666667,1,"good",6,1,0.166666666666667,14.90719508,19.59704719,20.80960452,18.70017448,122.8333333,101.1666667,NA,3,"good",101.1666667,79.16666667,"SY",0,1,0.833333333333333,148,"medium",1,2
"2850-57583","Colorado Horse Rescue","F",114.3333333,79.16666667,79,"2850-57589",15.31283815,21.03828348,20.55429379,27.90630608,"2022-05-28",9,8,0.888888888888889,1,"low",8,0,0,12.65077601,16.92662014,19.27879528,19.52571951,119.8333333,97,96.5,1,"low",97,79.16666667,"SY",0,0,1,148,"large",0,1
"2850-57585","Colorado Horse Rescue","F",121,76,76,"2811-83208",15.49893652,38.8499435,25.59709704,38.00804752,"2022-05-31",8,5,0.625,1,"low",5,1,0.8,18.73416916,21.00459455,26.39878531,23.23742606,118,87,89.5,1,"exact",87,76,"SY",0,0,0.2,151,"large",4,3
"2850-57588","Colorado Horse Rescue","F",119.8333333,78.33333333,76.83333333,"2850-57653",12.52124294,26.61550183,22.60458126,19.09416916,"2022-05-31",9,3,0.333333333333333,1,"low",4,1,1,8.467490861,27.15053506,21.8547225,15.40861914,119.3333333,78,76.33333333,1,"low",78,78.33333333,"SY",0,0,0,151,"large",4,2
"2850-57609","Cooks","F",116.1666667,74,74,"2850-57557",22.70465769,30.26842971,24.77977567,29.68129279,"2022-05-15",5,5,1,2,"good",5,1,1,14.35665503,21.70364905,15.87132436,19.32620306,117,84,83.66666667,2,"good",84,74,"ASY",1,1,0,135,"medium",5,1
"2850-57612","Blue Cloud","F",123.3333333,83.16666667,82.66666667,"2640-97548",13.22723496,31.54638584,22.9551778,29.48091226,"2022-05-11",10,10,1,2,"good",10,1,0.1,8.556945829,16.23411599,13.59760386,18.35999003,120,79.83333333,77.16666667,4,"good",79.83333333,83.16666667,"ASY",1,1,0.9,131,"medium",1,2
"2850-57629","Urban Farm Girlz","F",117,NA,79,"2850-57868",15.71125789,25.05653539,19.96372715,17.6905334,"2022-06-11",9,7,0.777777777777778,2,"good",7,1,0.428571428571429,11.44505317,25.26557328,22.7552343,21.53962944,120,90.33333333,91.16666667,1,"good",90.33333333,79,"ASY",1,0,0.571428571428571,162,"small",3,2
"2850-57635","Make Believe","F",120.6666667,75.16666667,75.5,"2850-57668",13.44884015,28.03611499,23.18695248,24.56099701,"2022-05-31",10,8,0.8,2,"good",8,1,0.625,11.681557,26.74239614,23.99616318,20.15335992,115.3333333,79.33333333,81.16666667,1,"good",79.33333333,75.16666667,"ASY",1,0,0.375,151,"medium",5,3
"2850-57637","Cooks","F",114.6666667,73,76,"2850-57633",21.08817714,22.7540329,18.7512014,21.16858757,"2022-05-23",12,1,0.0833333333333333,1,"good",1,0,0,11.19749917,17.60286474,16.38984214,19.65409771,121.1666667,89,88.66666667,2,"good",89,73,"SY",0,1,1,143,"medium",0,1
"2850-57640","McCauley","F",117,71,70,"2850-57639",14.91139581,31.63278913,26.67445165,29.02435361,"2022-05-23",7,6,0.857142857142857,1,"low",6,1,0.666666666666667,16.58988202,29.70281323,26.95944998,19.02117979,120.8333333,87.83333333,91,1,"low",87.83333333,71,"SY",0,0,0.333333333333333,143,"small",4,2
"2850-57645","Struthers","F",116.1666667,76.5,75,"2850-57674",13.92495181,29.63371718,20.0065653,22.27975573,"2022-06-10",9,4,0.444444444444444,1,"good",4,1,1,15.36206547,21.17854271,19.32716683,21.16911266,120,87.5,87.5,1,"good",87.5,76.5,"SY",0,0,0,161,"small",4,1
"2850-57648","Colorado Horse Rescue","F",119.8333333,77,76,"2850-57570",11.60741442,18.61403456,20.95208873,24.50020273,"2022-06-10",7,4,0.571428571428571,1,"low",4,1,0.5,16.84077767,23.06811898,25.67366733,19.07592556,121.5,90,NA,2,"good",90,77,"SY",0,1,0.5,161,"large",2,3
"2850-57649","Colorado Horse Rescue","F",116,73.5,NA,"2850-57620",14.39168328,23.55332004,22.86421569,16.04356098,"2022-05-31",8,8,1,1,"low",8,0,0,8.903889997,21.60838485,22.72290794,21.84048023,121,87,84,2,"good",87,73.5,"SY",0,1,1,151,"large",0,1
"2850-57650","Colorado Horse Rescue","F",116.3333333,74.33333333,74.16666667,"2850-57881",17.68973745,37.8482436,25.65847624,24.74415088,"2022-05-23",10,7,0.7,1,"low",7,1,0.428571428571429,11.73463277,21.93833167,26.56095214,31.59365071,119.6666667,84.83333333,85.83333333,1,"low",84.83333333,74.33333333,"SY",0,0,0.571428571428571,143,"large",3,4
"2850-57652","Colorado Horse Rescue","F",110.5,74,72,"2850-57581",16.27360253,25.43874875,25.62919242,26.1985211,"2022-05-22",7,7,1,1,"low",6,1,0.333333333333333,12.5018158,18.94245264,27.0381655,19.62838485,116,82.5,83,1,"low",82.5,74,"SY",0,0,0.666666666666667,142,"large",2,2
"2850-57654","Colorado Horse Rescue","F",116.6666667,79.83333333,81,"2850-57580",17.81852775,29.97126288,23.62500332,21.69604187,"2022-06-01",4,4,1,1,"low",4,1,0.5,9.142844799,27.48113161,22.9424111,30.74621137,117.5,87.83333333,NA,1,"low",87.83333333,79.83333333,"SY",0,0,0.5,152,"large",2,3
"2850-57661","Karens","F",120,78.33333333,79.5,"2850-57662",18.54673978,32.47876039,25.76237787,22.52499335,"2022-05-30",9,3,0.333333333333333,1,"low",3,0,0,15.2231572,23.22813393,18.99490528,25.66953473,120,NA,NA,1,"low",NA,78.33333333,"SY",0,0,1,150,"small",0,1
"2850-57663","Cooks","F",115.3333333,67,78.5,"2850-57573",24.7404769,42.12408774,36.61033234,37.0324676,"2022-05-29",8,8,1,1,"good",7,0,0,12.92033898,24.59975573,31.1244234,21.93607178,117.1666667,87.5,87,1,"good",87.5,67,"SY",0,0,1,149,"medium",0,1
"2850-57664","Cooks","F",114.5,74,74,"2850-57676",14.39181954,20.95414423,25.09655866,29.02535726,"2022-06-18",4,4,1,1,"good",3,1,0.333333333333333,12.13272848,11.56205716,29.82227983,24.87789963,115.1666667,74.16666667,71.5,1,"good",74.16666667,74,"SY",0,0,0.666666666666667,169,"medium",1,2
"2850-57667","Cathys","F",114.5,77,75.83333333,"2850-57666",19.98264374,18.68911931,21.39545198,16.86031572,"2022-06-07",13,1,0.0769230769230769,1,"good",1,0,0,14.63163011,NA,34.40713692,25.27785477,121.5,84,85.16666667,1,"good",84,77,"SY",0,0,1,158,"small",0,1
"2850-57670","Colorado Horse Rescue","F",118.8333333,NA,80,"2850-57671",19.57938518,27.12702227,24.27453971,21.16678132,"2022-06-04",5,5,1,1,"low",5,1,0.2,16.28350449,28.84180791,23.68146062,25.7482569,117.8333333,75.83333333,83.16666667,1,"low",75.83333333,80,"SY",0,0,0.8,155,"large",1,2
"2850-57672","Cooks","F",119.8333333,77.83333333,78,"2850-57673",13.89017614,35.84661682,35.58468594,44.24337488,"2022-06-01",5,4,0.8,1,"good",4,1,0.5,10.84304919,23.8083001,25.12981888,29.45398804,121.1666667,86,86.33333333,1,"good",86,77.83333333,"SY",0,0,0.5,152,"medium",2,2
"2850-57700","Cooks","F",115.3333333,73.5,72.66666667,"2870-64915",23.54235626,33.71179295,33.7028448,32.97698571,"2022-07-06",4,4,1,1,"good",4,0,0,17.296557,40.0972898,37.77161349,30.36117979,119.8333333,92.5,91.66666667,1,"good",92.5,73.5,"SY",0,0,1,187,"medium",0,1
"2850-57730","Colorado Horse Rescue","F",117,78.5,79,"2640-97588",15.70236623,12.82672316,23.21604354,25.31275341,"2022-05-14",10,9,0.9,2,"good",9,1,0.222222222222222,11.85018943,14.45612662,21.21705716,27.50362745,119,87,85,3,"good",87,78.5,"ASY",1,1,0.777777777777778,134,"large",2,3
"2850-57735","Colorado Horse Rescue","F",116,78.5,79.66666667,"2850-57806",15.02817049,30.99803589,33.99968096,30.60939349,"2022-05-18",9,5,0.555555555555556,2,"good",5,1,0.4,11.25502825,14.26422898,18.0460319,17.57589232,120.1666667,83.83333333,86,3,"good",83.83333333,78.5,"ASY",1,1,0.6,138,"large",2,2
"2850-57736","Colorado Horse Rescue","F",117.1666667,73,74.83333333,"2850-57567",18.82615819,20.40757062,19.58981555,26.68112828,"2022-05-29",5,4,0.8,2,"good",5,0,0,10.56012296,26.35612994,22.28285809,16.73888169,121.5,102.1666667,102.5,2,"good",102.1666667,73,"ASY",1,1,1,149,"large",0,1
"2850-57746","Colorado Horse Rescue","F",115.8333333,78,NA,"2850-57582",16.74286308,19.18283317,22.0371552,18.33031073,"2022-05-30",9,7,0.777777777777778,1,"low",7,1,0.571428571428571,NA,28.49882187,24.79582419,10.86734629,118,88.5,86,1,"low",88.5,78,"SY",0,0,0.428571428571429,150,"large",4,4
"2850-57846","Colorado Horse Rescue","F",118.1666667,79.83333333,80,"2850-57742",13.03171486,21.79884679,24.82876869,29.76354271,"2022-05-21",9,8,0.888888888888889,3,"good",6,1,0.166666666666667,13.00562645,26.1463443,26.30566135,22.8044882,118,93,92,1,"low",93,79.83333333,"ASY",1,0,0.833333333333333,141,"large",1,2
