"","N","mean","sd"
"mean_rwl",48,119.600694445833,2.00376111683682
"tail",47,88.439716312766,6.38540999710432
"throat_avg_bright",47,12.9584620516809,3.28843994923855
"breast_avg_bright",47,23.2249788580851,5.81599302904943
"belly_avg_bright",48,23.1694453097917,5.1622985083044
"vent_avg_bright",48,22.4577239114583,4.70696319642851
"tot.chick",48,4.89583333333333,3.7087566496772
"ep.chick",48,1.02083333333333,2.2643357330698
"prop.sired.epo",48,0.139741045991046,0.237278623459216
"num.tot.mates",48,1.52083333333333,1.14834910796276
"socF_rwl",48,117.371527777083,2.62539866646858
"socF_tail",48,76.6041666664583,3.58691887267415
"socF_t.avg.bright",48,16.856601774375,3.42583685525934
"socF_r.avg.bright",47,26.9607962982979,6.11383926210708
"socF_b.avg.bright",47,24.7659698210638,4.78028790634982
"socF_v.avg.bright",47,25.9053653225532,6.08307643101639
"ci_julian",48,148.354166666667,11.1574602145702
