"","band","first_date","first_year","index","adult.nestl","est.age","site_2022","certainty"
"1","2350-21085","2019-05-31",2019,4,"M",4,"Make Believe","good"
"2","2350-21096","2019-06-17",2019,3,"F",4,"Grizz","good"
"3","2600-54932","2014-06-13",2014,5,"M?",9,"Cargill","good"
"4","2640-97331","2018-06-16",2018,3,"F",5,"CHR","good"
"5","2640-97358","2019-06-14",2019,3,"F",4,"CHR","good"
"6","2640-97548","2019-06-28",2019,5,"M",4,"Blue Cloud","good"
"7","2640-97588","2020-05-30",2020,2,"M?",3,"CHR","good"
"8","2640-97589","2020-05-30",2020,2,"M",3,"CHR","good"
"9","2640-97596","2020-06-12",2020,4,"F",3,"Make Believe","good"
"10","2811-00632","2019-06-20",2019,2,NA,3,"Erica's","exact"
"11","2811-38984","2020-06-17",2020,4,NA,2,"CHR","exact"
"12","2811-39093","2021-08-10",2021,2,NA,1,"Schaap ","exact"
"13","2811-82969","2021-07-13",2021,2,NA,1,"CHR","exact"
"14","2811-83207","2021-07-16",2021,2,NA,1,"Dome House","exact"
"15","2811-83208","2021-07-16",2021,2,NA,1,"CHR","exact"
"16","2811-83402","2021-07-23",2021,2,NA,1,"Schaap ","exact"
"17","2811-83409","2021-08-12",2021,2,"unknown",1,"CHR","exact"
"18","2850-57518","2020-07-06",2020,4,"M",3,"Make Believe","good"
"19","2850-57519","2020-07-07",2020,3,"F",3,"Grizz","good"
"20","2850-57550","2021-05-26",2021,2,"F",2,"Mary Ann's","good"
"21","2850-57551","2021-06-03",2021,3,"F",2,"Struthers","good"
"22","2850-57552","2021-06-03",2021,3,"M",2,"Struthers","good"
"23","2850-57557","2021-06-08",2021,2,"M",2,"Cooks","good"
"24","2850-57560","2021-06-18",2021,2,"M",2,"Grizz","good"
"25","2850-57563","2021-06-19",2021,2,"M",2,"Schaap ","good"
"26","2850-57565","2021-06-21",2021,2,"M",2,"Blue Cloud","good"
"27","2850-57567","2021-08-12",2021,3,"M",2,"CHR","good"
"28","2850-57568","2021-08-12",2021,3,"F",2,"CHR","good"
"29","2850-57570","2021-08-12",2021,2,"M",2,"CHR","good"
"30","2850-57571","2021-08-12",2021,3,"F",2,"CHR","good"
"31","2850-57572","2022-05-26",2022,2,"F",1,"Blue Cloud","good"
"32","2850-57573","2022-05-28",2022,1,"M",1,"Cooks","good"
"33","2850-57574","2022-05-28",2022,2,"M",1,"Cooks","good"
"34","2850-57575","2022-05-28",2022,2,"F",1,"Cooks","good"
"35","2850-57576","2022-06-02",2022,1,"F",1,"Make Believe","good"
"36","2850-57577","2022-06-17",2022,2,"M",1,"CHR","low"
"37","2850-57578","2022-06-17",2022,2,"M",1,"CHR","low"
"38","2850-57580","2022-06-17",2022,1,"M",1,"CHR","low"
"39","2850-57581","2022-06-17",2022,1,"M",1,"CHR","low"
"40","2850-57582","2022-06-17",2022,2,"M",1,"CHR","low"
"41","2850-57583","2022-06-17",2022,1,"F",1,"CHR","low"
"42","2850-57584","2022-06-17",2022,2,"F",1,"CHR","low"
"43","2850-57585","2022-06-17",2022,1,"F",1,"CHR","low"
"44","2850-57586","2022-06-20",2022,1,"F",1,"CHR","low"
"45","2850-57587","2022-06-20",2022,1,"M",1,"CHR","low"
"46","2850-57588","2022-06-20",2022,1,"F",1,"CHR","low"
"47","2850-57589","2022-06-20",2022,1,"M",1,"CHR","low"
"48","2850-57590","2022-07-03",2022,1,"F",1,"Maya's","low"
"49","2850-57591","2022-07-03",2022,1,"F",1,"Maya's","low"
"50","2850-57592","2022-07-03",2022,1,"F",1,"Maya's","low"
"51","2850-57593","2022-07-03",2022,1,"M",1,"Maya's","low"
"52","2850-57594","2022-07-03",2022,1,"F",1,"Maya's","low"
"53","2850-57595","2022-07-03",2022,1,"M",1,"Maya's","low"
"54","2850-57596","2022-07-03",2022,1,"F",1,"Maya's","low"
"55","2850-57597","2022-07-03",2022,1,"M",1,"Maya's","low"
"56","2850-57598","2022-07-05",2022,1,"M",1,"Schaap ","good"
"57","2850-57600","2022-07-05",2022,1,"M",1,"Schaap ","good"
"58","2850-57604","2021-06-04",2021,2,"F",2,"Schaap ","good"
"59","2850-57607","2021-06-04",2021,2,"M",2,"Schaap ","good"
"60","2850-57609","2021-06-08",2021,2,"F",2,"Cooks","good"
"61","2850-57612","2021-06-21",2021,3,"F",2,"Blue Cloud","good"
"62","2850-57614","2021-06-23",2021,3,"M",2,"Blue Cloud","good"
"63","2850-57619","2021-07-02",2021,2,"M",2,"Reinarz","good"
"64","2850-57620","2021-07-07",2021,2,"M",2,"CHR","good"
"65","2850-57629","2021-07-21",2021,3,"F",2,"Urban Farm Girlz","good"
"66","2850-57633","2021-07-22",2021,2,"M",2,"Cooks","good"
"67","2850-57635","2021-07-26",2021,2,"F",2,"Make Believe","good"
"68","2850-57636","2021-07-30",2021,2,"M",2,"Jays","good"
"69","2850-57637","2022-05-28",2022,1,"F",1,"Cooks","good"
"70","2850-57638","2022-05-28",2022,2,"M",1,"Cooks","good"
"71","2850-57639","2022-06-07",2022,1,"M",1,"McCauley","low"
"72","2850-57640","2022-06-07",2022,1,"F",1,"McCauley","low"
"73","2850-57641","2022-06-10",2022,1,"F",1,"Sol y Sombra","low"
"74","2850-57642","2022-06-10",2022,2,"M",1,"Sol y Sombra","low"
"75","2850-57643","2022-06-13",2022,2,"M",1,"Dome House","low"
"76","2850-57645","2022-06-16",2022,2,"F",1,"Struthers","good"
"77","2850-57646","2022-06-17",2022,1,"M",1,"CHR","low"
"78","2850-57647","2022-06-17",2022,1,"M",1,"CHR","low"
