"","N","mean","sd"
"mean_rwl",47,117.379432623404,2.63241180489019
"tail",47,76.6241134748936,3.62999914928025
"throat_avg_bright",47,16.7652343855319,3.44872131806717
"breast_avg_bright",46,26.9757238782609,6.17049974618108
"belly_avg_bright",46,24.868250718913,4.79212215942453
"vent_avg_bright",46,26.0487351713043,5.9257338106266
"ci_1_julian",47,148,11.2481882599126
"tot_eggs",47,8.25531914893617,2.25029548887119
"tot.chick",47,5.87234042553191,2.28051311232893
"season.prop.ep",47,0.346673421141506,0.310881887653271
"num.epo",47,2.04255319148936,1.86451353730801
"num.tot.mates",47,2.06382978723404,0.964686372084076
"socM_rwl",47,119.712765959574,1.94635238290045
"socM_tail",46,88.3152173919565,6.42037923361759
"socM_t.avg.bright",46,12.7031431699783,2.82145016750933
"socM_r.avg.bright",46,23.0566300015217,6.00903870524608
"socM_b.avg.bright",47,23.2307499485106,5.20071713827732
"socM_v.avg.bright",47,22.4401451319149,4.72116093386604
