"","Estimate","Std. Error","t value","Pr(>|t|)","2.5 %","97.5 %","GVIF","Df","GVIF^(1/(2*Df))"
"(Intercept)",20.6753453771675,9.97085859141363,2.07357723385747,0.0459987290829535,0.389481044232273,40.9612097101027,NA,NA,NA
"site.sizemedium",-0.341726421192701,0.744847799432449,-0.458786911169082,0.649394727269121,-1.8571306634095,1.17367782102409,NA,NA,NA
"site.sizesmall",1.08414040091038,1.06773385261649,1.01536576577926,0.317318512268478,-1.08818045584239,3.25646125766315,1.42202176597099,2,1.09200986314226
"tail",0.0300786000721549,0.0906713926663879,0.331731973973585,0.742189358605968,-0.154393735348647,0.214550935492957,1.20355629427674,1,1.09706713298537
"socM_tail",0.0109024515248782,0.0532957746406764,0.204565025996588,0.839168463269635,-0.0975286172709905,0.119333520320747,1.25714246942453,1,1.12122364826315
"throat_avg_bright",-0.042812863560454,0.104658684678668,-0.409071293910313,0.685130231773946,-0.25574255855013,0.170116831429222,1.43208689374375,1,1.19669833030039
"socM_t.avg.bright",-0.0758984493842538,0.112016528198078,-0.677564736250738,0.502770805324106,-0.303797789570408,0.1520008908019,1.24938517871343,1,1.11775899849361
"breast_avg_bright",-0.0336396568549427,0.0592581405943781,-0.567679925787852,0.574094562850638,-0.154201250392609,0.0869219366827233,1.34593581265792,1,1.16014473780555
"socM_r.avg.bright",-0.0247962209844555,0.0591664956747614,-0.419092270070556,0.677864202545399,-0.145171361531228,0.0955789195623167,1.37903805555706,1,1.17432451032798
"ci_1_julian",-0.0854644135609526,0.0297940100189064,-2.86850992889911,0.00713756114451712,-0.146080782716777,-0.0248480444051287,1.2419572610499,1,1.11443136219774
