"","Estimate","Std. Error","z value","Pr(>|z|)","2.5 %","97.5 %","beta.BT","lowerCI.BT","upperCI.BT"
"(Intercept)",-1.26988732597692,0.201039856653363,-6.31659486390544,2.67389339460365e-10,-1.69243038773632,-0.875707146328386,0.280863265989722,0.184071614522082,0.416567341434448
"site.sizemedium",0.0562245825753661,0.299546066475993,0.187699285244569,0.851112390604105,-0.544127526449583,0.655127406689115,1.05783522842133,0.580347900714143,1.92538780903614
"site.sizesmall",0.801512904581071,0.398763678316501,2.00999476172177,0.0444317432730592,-0.0157209498436619,1.6075494102007,2.22891050784185,0.984401979257868,4.99056639932468
"tail_scaled",0.246095506401021,0.124004222580595,1.98457359983104,0.0471919319903259,-0.00921758342865814,0.509366193086175,1.27902172247018,0.990824768266819,1.66423605628541
"socM_tail_scaled",-0.301731385583245,0.140951421745758,-2.14067642487136,0.0323001409458754,-0.591595618737625,-0.0188673879834571,0.739536688427996,0.553443495015437,0.981309487044489
"throat_avg_bright_scaled",-0.0562542479690954,0.146078564351628,-0.385095843587871,0.700166407337483,-0.342377036471227,0.227350346290052,0.945298765043591,0.710080428012694,1.25526956994864
"socM_t.avg.bright_scaled",0.0589883894609124,0.152283174058802,0.387359863133236,0.698489813459614,-0.241212976271169,0.356631163201261,1.06076292463926,0.785674278590215,1.42850888602984
"breast_avg_bright_scaled",0.269888128081507,0.146966858460093,1.8363876788915,0.0663003405186869,-0.0226839484181095,0.564439519304226,1.309817910694,0.97757139794103,1.75846192250799
"socM_r.avg.bright_scaled",-0.174279528089216,0.150334953018595,-1.15927483655553,0.246344175348412,-0.472876387325214,0.121871364739163,0.840062043897896,0.623207102713435,1.12960878491339
"ci_1_julian_scaled",-0.0532599501078406,0.143393209913507,-0.371425886483512,0.71032034773903,-0.353058460446391,0.233468463233554,0.948133513035946,0.702536121601441,1.26297299717841
