"","Estimate","Std. Error","z value","Pr(>|z|)","2.5 %","97.5 %","beta.BT","lowerCI.BT","upperCI.BT"
"(Intercept)",-0.674105661579966,0.619488350082465,-1.08816519550405,0.276522186551548,-2.03352667851828,0.477592789315321,0.509611982439165,0.130873158768327,1.61218884917336
"site.sizemedium",-0.143220461024206,0.901285015770111,-0.158906958973272,0.873742177897862,-1.92428980254208,1.69125535623406,0.866563004467629,0.145979394245068,5.42628835613928
"site.sizesmall",-0.783731512978756,1.39910255243038,-0.560167309835394,0.575365322415085,-4.13811352464995,1.76182534518816,0.456698650824528,0.0159529179222387,5.82305678811298
"tail_scaled",0.237988296186569,0.424378346923409,0.560792740515388,0.574938836130956,-0.593543297777614,1.12829758320135,1.26869434417611,0.552366613770316,3.09039088590286
"socF_tail_scaled",-0.309476145736389,0.44913816940096,-0.689044411765657,0.490795319799398,-1.26745391118328,0.539883375599982,0.733831276194479,0.281547555058073,1.7158067455836
"throat_avg_bright_scaled",0.00758042254609734,0.458146999124541,0.0165458304006848,0.986798939710665,-0.970555612658314,0.88550860681282,1.0076092266856,0.378872473270536,2.42421705129743
"socF_t.avg.bright_scaled",-1.01867750214297,0.509912239347052,-1.99775063930099,0.0457437011753402,-2.16911270951937,-0.108242975598077,0.361072141688151,0.114278970581846,0.89740952132288
"breast_avg_bright_scaled",0.147656295032983,0.44763464342208,0.329858953507663,0.741506539519116,-0.736923174708382,1.06907655480597,1.15911443450176,0.478584172385153,2.91268854945287
"socF_r.avg.bright_scaled",-0.78098139279808,0.532775787990537,-1.46587253100164,0.142683016629692,-2.02874239864536,0.14323198736209,0.457956355627644,0.131500792778932,1.15399748344746
"ci_julian_scaled",-0.721199312013945,0.519140433872702,-1.38921814784088,0.16476642486633,-1.85856986566798,0.236738053979503,0.486168838051567,0.155895422414547,1.26710916009766
