"","Estimate","Std. Error","z value","Pr(>|z|)","2.5 %","97.5 %","beta.BT","lowerCI.BT","upperCI.BT"
"(Intercept)",-0.818594716812233,0.48594281208317,-1.68454949112845,0.0920755232591338,-1.85036866973445,0.0953432802512102,0.441051020796026,0.157179208413596,1.10003641109418
"site.sizemedium",0.238868305277864,0.663570379692125,0.359974333677599,0.718866327472983,-1.09009626095765,1.58363545941129,1.2698112981258,0.336184130742742,4.87263792786674
"site.sizesmall",-0.86433290319749,1.26571309603334,-0.682882168088686,0.494681302645181,-4.14732937239436,1.55819479760287,0.421332528480397,0.0158065736386788,4.75023835887283
"tail_scaled",0.21378743599776,0.277251525231564,0.771095617307072,0.440650258184366,-0.372434184014446,0.810921732859667,1.23835939618533,0.689055000899494,2.24998091252847
"socF_tail_scaled",-0.438278929782507,0.317044652675522,-1.3823886512007,0.166852398835366,-1.22532444093362,0.27972130302494,0.645145807378463,0.29366240876006,1.32276111144143
"throat_avg_bright_scaled",-0.00595925526852885,0.377047637171538,-0.0158050460499708,0.987389922774593,-0.821142318071492,0.761797780293076,0.99405846587407,0.439928828715971,2.14212382888816
"socF_t.avg.bright_scaled",-0.86184262614789,0.320670435490701,-2.68762732937656,0.00719616603683991,-1.56964012199073,-0.247974678665221,0.422383070734044,0.208120066716895,0.78037970328358
"breast_avg_bright_scaled",0.109766529521882,0.312282501849022,0.351497534674391,0.725215121686963,-0.513592506230476,0.74902946453234,1.11601748290498,0.59834216509612,2.11494638973158
"socF_r.avg.bright_scaled",-0.516052369082432,0.349819949694119,-1.47519422358178,0.140160334005314,-1.29392022303007,0.153739346498347,0.596872134209879,0.274193772666216,1.16618687646655
"ci_julian_scaled",-0.907625127437048,0.368386127562701,-2.46378747604324,0.0137477599967263,-1.74747907685372,-0.156979059505587,0.403481303790616,0.174212566842352,0.854721956930651
