"","Estimate","Std. Error","z value","Pr(>|z|)","2.5 %","97.5 %","beta.BT","lowerCI.BT","upperCI.BT"
"(Intercept)",-2.11658007470267,0.414905100647986,-5.10135949497142,3.37222323945313e-07,-3.01505460778264,-1.37469948093607,0.120442830453463,0.0490431572758195,0.252915590341733
"site.sizemedium",0.424142333271433,0.570790940902113,0.743078249632155,0.457434307111037,-0.679931124779399,1.57860254769001,1.5282791032687,0.50665188692437,4.84817598037261
"site.sizesmall",-0.660362708538801,1.20882400973876,-0.546285235252327,0.584869883812642,-3.74904971697336,1.39889811758585,0.516663902093109,0.0235401049927923,4.05073407421146
"tail_scaled",0.178653915546191,0.193447587227322,0.923526202145145,0.35573305212828,-0.201827960702889,0.561173478083382,1.19560689159999,0.817235512471998,1.75272808196051
"socF_tail_scaled",-0.334919282629648,0.254571812953808,-1.31561809119229,0.188302258341573,-0.849659016851355,0.151977536612136,0.715395828892184,0.427560698088487,1.1641340857429
"throat_avg_bright_scaled",0.0774926680647664,0.319367033746151,0.242644543351214,0.808280771572015,-0.559085004866582,0.710448877470883,1.08057430972866,0.571731956548057,2.03490447644484
"socF_t.avg.bright_scaled",-0.827863166266157,0.245326945123451,-3.37453012285123,0.000739418230588829,-1.34215234140703,-0.372960260761342,0.436982047368881,0.261282693380341,0.688692600419779
"breast_avg_bright_scaled",0.0226986566112995,0.249557606083877,0.0909555792247439,0.927527887332723,-0.471830585194413,0.514219950312886,1.02295823139629,0.623859194949675,1.67233348966119
"socF_r.avg.bright_scaled",-0.29527977848631,0.283602961626827,-1.04117311325842,0.297795211732726,-0.885193344730492,0.238805288703367,0.744323312682118,0.412634384882028,1.26973128148874
"ci_julian_scaled",-0.539538694644704,0.305856422976712,-1.76402604004097,0.0777275951430065,-1.19292922564756,0.0239554670400857,0.583017139278315,0.303331435228448,1.02424470422662
